var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
4,2,1,2.3078,2.0319000000000003,1.8049,1.1314,0.9831000000000001,1.0
0,2,1,2.651,2.3783,2.1046,1.6270000000000002,0.8142,1.0
1,1,3,1.3224999999999998,2.3916,0.8529999999999999,1.8058,1.8687999999999998,2.0
2,0,1,1.0762,1.8098999999999998,2.4339,1.8507,1.8787,1.0
4,4,3,1.8820000000000001,2.3139,1.0804,1.9131,1.0436,2.0
4,4,1,1.9369,2.0501,1.8090000000000002,1.4878,1.2356,2.0
2,4,0,1.4929000000000001,1.6246,2.2131000000000003,2.7197,2.3322,1.0
0,4,2,1.8378,2.2106,1.763,2.2414,1.0704,1.0
1,1,0,1.4754,1.7574,1.3702999999999999,1.9401000000000002,2.6087,2.0
1,1,4,1.1457,2.3273,1.132,1.5302,1.9724999999999997,2.0
0,4,0,2.3781,2.0261,1.8974000000000002,2.543,1.6146,2.0
2,4,1,1.3949,1.995,2.4244000000000003,2.1601,1.7842999999999998,1.0
1,2,1,1.9647000000000001,2.0652,2.0438,1.1035000000000001,1.3937,2.0
4,4,4,1.7052,2.2496,1.3594,1.6375,1.1473,3.0
4,1,0,1.8184999999999998,1.7241,1.1314,1.968,2.1981,1.0
3,4,1,1.8229,2.028,2.3928000000000003,2.1469,1.1106,1.0
1,0,0,1.3731,1.5279,1.8460999999999999,1.7101000000000002,2.2885,2.0
0,1,0,2.1617,2.0705,1.4311,2.4636,2.0292,2.0
2,1,0,1.2765,1.669,1.7468,2.6403000000000003,2.7468,1.0
3,2,3,2.1389,2.2736,1.6601000000000001,2.2158,0.6661,2.0
3,1,0,1.7045,1.702,1.7152,2.6271,2.0731,1.0
0,2,3,2.5961,2.6421,1.3760000000000001,2.0523000000000002,0.6222,1.0
1,4,4,1.3620999999999999,2.2829,1.5983,1.6096,1.5579,2.0
1,1,1,1.3774,2.1278,1.5816,1.3805,2.0608,3.0
4,1,1,1.7205,2.0945,1.3427,1.4084,1.6502,2.0
2,1,3,1.1236,2.3032,1.2295,2.5060000000000002,2.0069,1.0
0,1,3,2.0088,2.7047,0.9138,2.3293,1.2893,1.0
2,2,2,1.3235000000000001,1.7909000000000002,2.0745999999999998,2.0617,1.5354999999999999,3.0
3,4,3,1.7679999999999998,2.2918,1.6642000000000001,2.5722,0.9186,2.0
0,2,0,2.749,2.0079,1.8933,2.1866000000000003,1.3620999999999999,2.0
3,4,0,1.9209,1.6576,2.1815,2.7065,1.6585,1.0
2,0,0,1.1742,1.4395,2.2226,2.4103,2.4266,2.0
0,4,4,2.0484,2.596,1.6591,2.1330999999999998,0.9784,2.0
3,1,3,1.5516,2.3362,1.1979,2.4928,1.3332,2.0
4,2,0,2.4057999999999997,1.6615000000000002,1.5936000000000001,1.691,1.5310000000000001,1.0
3,2,0,2.2918,1.6394000000000002,2.1774,2.3501000000000003,1.4060000000000001,1.0
3,4,2,1.3805999999999998,1.8420999999999998,2.0471,2.4049,1.1143,1.0
2,2,0,1.8638,1.6064,2.209,2.3633,2.0797,2.0
2,0,2,0.6339,1.624,2.0882,2.1087,1.8824,2.0
2,4,3,1.3399999999999999,2.2588,1.6958000000000002,2.5854,1.5922999999999998,1.0
1,0,1,1.2751000000000001,1.8982999999999999,2.0574,1.1505,1.7406,2.0
0,0,0,2.0594,1.841,1.9069000000000003,2.2336,1.709,3.0
2,2,1,1.7658,1.9768,2.4203,1.8037,1.5317999999999998,2.0
3,0,1,1.5042,1.8429000000000002,2.4023000000000003,1.8375,1.205,1.0
