var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
3,0,3,3,0,2.9600999999999997,3.6302000000000003,3.6651000000000002,3.1891,2.5813,4.0
2,2,3,3,1,1.4805000000000001,4.1234,3.1029999999999998,2.8569,2.9321,3.0
1,0,2,3,0,2.6703,2.9074,3.6696,2.6397000000000004,2.9671000000000003,2.0
1,1,0,0,0,1.3529,2.7445,2.6631,3.7045000000000003,4.0325999999999995,4.0
2,0,2,2,0,3.3110999999999997,2.0972,4.028300000000001,3.1295,2.5773,4.0
2,2,0,0,3,0.4362,3.4754,2.3155,3.7262,3.9281,3.0
3,0,2,0,1,2.6489999999999996,2.5957999999999997,3.9353,3.9658,2.4387,2.0
2,0,3,0,0,2.4985,3.1248,3.7983,3.6894,3.5237000000000003,3.0
1,3,3,3,0,2.7644,3.2674000000000003,2.8101,2.1089,3.0309,3.0
2,1,0,0,2,1.159,2.6864,2.4522999999999997,4.5354,3.8956,3.0
3,3,3,3,3,2.545,3.3904,2.5713,2.7943,2.5653,5.0
0,0,0,3,1,2.4215,4.0771,2.714,3.7134,2.6717000000000004,3.0
0,1,0,0,3,1.5907,3.2359999999999998,2.1402,4.2264,3.5231,3.0
0,0,4,4,0,3.9696000000000002,3.2843,2.6722,2.7385,2.7559000000000005,4.0
2,0,0,0,3,1.271,3.1654,2.7283999999999997,4.223599999999999,3.9895,3.0
0,2,3,4,3,2.7333,4.1655,2.1028000000000002,2.4992,2.6967,2.0
0,2,3,3,1,2.3657,4.5249,2.7873,2.6802,2.2145,2.0
2,2,2,2,2,2.4812999999999996,2.4375,3.0281,2.7628000000000004,2.2408,5.0
1,1,1,1,1,1.4936,3.1388,1.779,3.0914,3.3235,5.0
0,0,3,0,1,3.1668999999999996,3.7424999999999997,3.3018,3.6647000000000003,2.5446,3.0
1,1,4,4,0,2.7178,2.6403000000000003,2.3388999999999998,2.3945,3.5866000000000002,3.0
2,2,0,0,0,0.8846999999999999,3.297,2.8992,3.7278000000000002,3.8581000000000003,4.0
2,2,0,3,3,0.4698,3.9478,2.2138999999999998,3.2391,3.6594,3.0
0,0,3,2,2,4.262,3.3072,2.7759000000000005,2.9459,1.7344000000000002,3.0
2,0,3,4,1,2.9146,3.4917999999999996,3.2342999999999997,3.3268999999999997,3.1442000000000005,1.0
0,0,3,4,3,3.5681,3.8554999999999997,2.5157000000000003,2.9966,2.7581,3.0
2,0,0,0,2,1.7245,3.0173,2.7247999999999997,4.3559,3.6444,4.0
0,4,2,0,1,2.2085999999999997,2.4097,3.2965,4.0372,2.482,2.0
0,0,2,2,0,4.1963,2.4987,3.7126,2.9528,1.8597000000000001,4.0
2,0,0,0,0,1.7194999999999998,2.987,3.3120999999999996,4.2252,3.9195,4.0
3,0,0,0,0,2.1475,3.02,3.2805,4.212000000000001,3.2458,4.0
0,0,2,0,0,3.323,2.7481,3.8320000000000003,3.6503000000000005,2.6563000000000003,4.0
0,0,3,4,2,4.0216,3.7074,2.5121,3.1289,2.4130000000000003,2.0
3,0,2,2,1,3.5222999999999995,2.3464,3.8159,3.2683,1.6421000000000001,2.0
2,0,3,3,0,2.5321,3.5972,3.6967,3.2023,3.2550000000000003,3.0
3,1,3,3,1,2.1778,3.5155,3.2117999999999998,3.5206,2.5709999999999997,4.0
0,0,0,3,3,2.1898,4.0393,2.3111,3.5598,3.0032,4.0
2,1,4,0,0,1.886,2.4011,3.0986,3.6092000000000004,3.8427000000000002,2.0
3,0,3,0,0,2.9265,3.1578000000000004,3.7667,3.6762000000000006,2.85,4.0
0,1,3,4,2,3.4561,3.3765,2.2396,3.3084,2.6642,1.0
2,2,0,4,0,1.5176,3.4478,2.516,3.2133000000000003,3.7401000000000004,3.0
2,1,2,0,1,1.6555,2.2319,3.6944,4.1585,3.3636,3.0
0,0,2,3,0,3.3566000000000003,3.2205,3.7304,3.1632,2.3876,3.0
2,0,2,0,0,2.4377999999999997,2.3466,4.1477,3.827,3.3739000000000003,4.0
2,0,2,0,1,2.2209999999999996,2.5627999999999997,3.9669,3.9789999999999996,3.1124,3.0
0,3,0,0,0,2.6381,2.9703,2.4863,3.6553000000000004,3.1159000000000003,4.0
