var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,0,1,1.4794,2.3997,0.867,2.188,1.8011,2.0
1,3,4,1.1183,1.777,1.9515000000000002,1.4839,2.0944,1.0
4,3,3,1.5474999999999999,1.4547,1.7400000000000002,1.3157,2.1715999999999998,2.0
1,1,3,1.2326,1.9563000000000001,1.4474,1.553,2.336,2.0
2,3,0,1.0859,1.4096,1.4646000000000001,2.0677,2.6536,1.0
3,2,2,1.0594000000000001,1.7251,1.8472000000000002,2.556,1.4011999999999998,2.0
2,3,3,1.0055,1.3996,2.3554000000000004,1.988,2.7203,2.0
1,3,1,0.7389,1.5747,1.2679,1.1174,2.5107999999999997,2.0
4,0,0,1.6821,1.9766000000000001,0.38749999999999996,1.9425,1.9747,2.0
0,0,4,1.8588,2.602,1.5506000000000002,2.5545,1.3847,2.0
4,4,4,1.2490999999999999,1.4868000000000001,1.1535,1.7838,0.9039999999999999,3.0
2,0,3,1.0596999999999999,1.9115,1.8937,2.5351,2.5901,1.0
0,3,3,1.8907,1.8011,2.0397,1.8113000000000001,2.0027,2.0
2,3,1,0.54,1.4863,1.6444,1.8175999999999999,2.6489000000000003,1.0
1,0,0,1.339,2.0099,0.6264,1.9145999999999999,2.3853,2.0
1,0,3,1.2586,1.9999,1.5171999999999999,1.8348999999999998,2.452,1.0
3,3,3,1.4335,1.4326,2.3238000000000003,1.9748,2.0465999999999998,3.0
2,0,4,0.9736,2.2005,1.8662999999999998,2.7312,2.1023,1.0
1,0,2,1.3094000000000001,2.1048999999999998,1.3881999999999999,2.0318,2.0955,1.0
0,0,2,1.9957000000000003,2.418,1.449,2.5553,1.516,2.0
0,2,2,1.5166,2.0936,1.5631,2.3925,1.3573,2.0
2,2,3,0.5806,1.5871,2.0078,2.3723,2.4314,2.0
3,2,4,0.9225,1.9091,1.9488000000000003,2.5552,1.2698999999999998,1.0
0,0,3,1.9449,2.3129999999999997,1.578,2.3584,1.8725,2.0
1,1,1,0.7671,2.043,0.7363999999999999,1.3826,2.2645999999999997,3.0
3,0,3,1.4877,1.9445000000000001,1.8621,2.5219,1.9163999999999999,2.0
1,3,2,1.2551999999999999,1.593,1.8499,1.4847000000000001,2.2257,1.0
0,3,0,1.9711,1.8111,1.1489,1.891,1.936,2.0
2,2,4,0.4945,1.8761,1.9804,2.5684,1.9436,2.0
2,2,2,0.6314000000000001,1.6921,1.8788,2.5692,2.0749,3.0
1,3,3,1.2044,1.488,1.9789,1.2877999999999998,2.5822,2.0
2,0,0,1.1401,1.9215,1.0029,2.6148,2.5234,2.0
1,1,2,1.2833999999999999,2.0613,1.3184,1.7499000000000002,1.9794999999999998,2.0
3,3,4,1.3474,1.7216,2.2964,2.1709,1.5587999999999997,2.0
2,3,2,1.0563,1.5046,2.2264,2.1849,2.3638,2.0
3,0,4,1.4016000000000002,2.2335000000000003,1.8347000000000002,2.718,1.4285999999999999,1.0
2,1,1,0.5682,1.9546000000000001,1.1129,2.0828,2.4027000000000003,2.0
2,2,0,0.661,1.5971000000000002,1.117,2.452,2.3647,2.0
1,3,0,1.2848,1.498,1.0881,1.3675,2.5155,1.0
2,0,2,1.1105,2.0164999999999997,1.7647,2.7319999999999998,2.2336,2.0
2,3,4,0.9194,1.6885999999999999,2.3280000000000003,2.1841,2.2325,1.0
1,0,1,0.7931,2.0866,0.8062,1.6644999999999999,2.3806000000000003,2.0
0,0,0,2.0253,2.323,0.6872,2.4381,1.8058,3.0
3,0,0,1.5681,1.9545000000000001,0.9713,2.6016,1.8497,2.0
2,2,1,0.11510000000000001,1.6738,1.2968,2.2019,2.36,2.0
