var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,2,1,1,2,2.1186000000000003,3.8247999999999998,2.4867999999999997,4.3119,3.7918000000000003,3.0
0,0,1,1,1,3.6562,3.6901,1.9491999999999998,2.5036,2.7826000000000004,4.0
3,2,1,1,2,1.6614,3.4562999999999997,2.7708999999999997,4.4754000000000005,3.8357,3.0
1,1,0,1,2,2.817,3.6058,2.9732,3.1755,3.8144,3.0
3,4,0,4,3,2.7533,3.0134,3.4433,4.1051,1.9197,3.0
2,2,0,2,2,2.3862,3.6916,3.5372,4.0321,3.5911,4.0
2,1,0,0,2,2.5158,3.2878999999999996,3.8255,3.6456999999999997,3.6323,3.0
2,3,0,0,2,2.0318,3.032,3.8099999999999996,4.0681,3.7598,3.0
3,3,3,3,3,2.7600000000000002,2.0671,2.244,3.2128,2.3951000000000002,5.0
2,3,1,1,2,1.5686,2.9306,3.0616999999999996,4.477600000000001,4.3312,3.0
2,1,2,1,1,2.3735999999999997,3.817,2.8205999999999998,2.3804,3.3735,4.0
1,2,2,1,2,1.163,4.1526,2.2856,3.1115,4.0587,4.0
2,1,1,1,2,2.0526,3.1864999999999997,3.0772,4.0552,4.2037,4.0
4,4,4,4,4,2.1037,2.4021,2.3161,3.1102,2.5032,5.0
2,2,2,1,2,0.9641,4.0642,2.6621,3.8117,4.1968,4.0
1,0,0,1,2,2.9451,3.7182999999999997,2.2771,2.7985,3.6285,3.0
2,2,4,2,2,1.4886,3.1369999999999996,3.1825,4.2669999999999995,3.6783,4.0
1,1,0,0,2,2.7147,3.3762999999999996,3.449,2.9455,3.4941999999999998,3.0
1,2,2,2,2,1.7503,4.09,2.7478000000000002,2.8345000000000002,3.3916,4.0
3,3,0,2,2,3.1494,3.2318999999999996,3.7648,4.0079,2.7392000000000003,3.0
2,2,2,2,2,1.5514,4.0016,3.1243000000000003,3.5347,3.5297,5.0
2,1,1,2,1,3.2302,3.1135,3.4232,2.7803,3.0190000000000006,4.0
0,3,0,1,2,3.0193000000000003,3.663,3.0185,4.1214,3.3624,2.0
1,1,1,1,1,2.8418,3.2645,2.5845,2.3571,3.548,5.0
0,0,0,2,2,4.2187,3.9688,2.8001,3.045,2.3819,4.0
2,2,3,2,2,2.4196,3.2733999999999996,3.0271,3.6389,3.5051,4.0
0,1,0,1,1,4.0936,3.9085,2.9177999999999997,2.7011000000000003,2.7173,4.0
1,2,3,1,2,2.0312,3.4244,2.1884,3.2157,4.0341,3.0
0,1,3,2,1,4.7143,3.4277,2.8699,2.0309000000000004,1.9642,2.0
2,2,0,0,2,1.6966,3.5247,3.5507999999999997,4.0791,3.9379999999999997,4.0
0,0,0,1,2,3.6314,4.0314,2.3379,3.322,3.0490000000000004,3.0
3,2,0,2,2,2.8142,3.7245999999999997,3.5056,4.0189,2.9173999999999998,3.0
0,0,0,4,1,4.4381,3.9766,2.688,2.4035,2.1168000000000005,3.0
2,4,0,4,2,2.2592,3.2224,3.7213,4.4041,3.0528,3.0
0,1,0,1,3,3.5694000000000004,3.6769,2.7876,3.4132000000000002,2.7754999999999996,3.0
3,4,4,4,3,1.8557000000000001,2.4588,3.0886000000000005,4.34,2.0069,4.0
2,1,0,2,1,3.7957,3.4444,3.6957,2.6008,2.7678000000000003,3.0
0,3,0,4,3,3.3018,3.3766,3.2384000000000004,3.915,2.4884,3.0
0,2,0,4,2,2.9005,4.1113,3.2255999999999996,4.2118,3.1260000000000003,3.0
0,1,2,4,1,3.4752,4.1741,2.9712,2.2831,2.2413000000000003,2.0
3,2,0,4,2,2.4433,3.7428,3.5097,4.375299999999999,3.1699,2.0
2,2,1,1,2,1.2334,3.4233,2.8024999999999998,4.4886,4.5094,4.0
2,1,2,1,2,1.7832999999999999,3.8274,2.9368,3.3783,3.8911,4.0
2,3,1,4,2,1.7850000000000001,2.8862,3.528,4.557,3.9166,2.0
1,1,0,0,1,3.305,3.3659,3.3327999999999998,1.9476,2.9766,4.0
0,0,3,1,4,3.8649,3.2924,1.3927,2.0723000000000003,2.8749000000000002,2.0
0,2,2,2,2,2.4366,4.4031,2.8086,3.3579999999999997,2.8121,4.0
1,1,1,1,2,2.2515,3.2748999999999997,2.7007,3.355,4.0656,4.0
4,1,0,1,2,3.1601,3.5725,2.7342999999999997,3.2034000000000002,3.4037999999999995,2.0
2,1,0,1,2,2.6181,3.5174,3.3497,3.8757,3.9524999999999997,3.0
0,0,1,1,2,3.0659,3.7005,2.0654,3.5015,3.3002000000000002,3.0
0,2,2,4,2,2.0657,4.4213000000000005,2.8127,3.7144,3.0646,3.0
0,1,0,2,1,4.6809,3.8459000000000003,3.38,2.4241,2.0502,3.0
2,1,0,4,1,3.4248,3.4626,3.6998,2.9572,3.0203,2.0
1,2,2,1,1,1.7533,4.1422,2.1694,2.1136,3.5411,4.0
