var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
3,3,0,1.803,1.3679999999999999,2.0205,2.5001,1.5813000000000001,2.0
0,2,1,1.3595000000000002,1.8982999999999999,1.2046999999999999,2.5271,1.9668,1.0
1,1,3,2.0913,1.2611,1.181,0.9975,1.9034,2.0
2,3,0,1.375,1.335,2.0521,2.5133,2.255,1.0
2,3,3,1.4084,0.9168000000000001,1.5419999999999998,2.1201,2.169,2.0
1,1,0,2.0579,1.6793,1.6911,1.3907,1.9893999999999998,2.0
0,4,0,2.1689000000000003,1.7418,1.6572,2.3632,0.9248000000000001,2.0
3,3,1,1.2375,1.0371,1.748,2.6796,1.8325,2.0
1,2,1,0.6732,1.5852,1.1439,2.0036,2.5463,2.0
4,1,0,2.401,1.6460000000000001,1.4522,1.4186,1.5787999999999998,1.0
0,3,3,2.2936,1.3183,1.2263000000000002,1.9434000000000002,1.4514,2.0
2,3,1,0.8095000000000001,1.0041,1.7795999999999998,2.6928,2.5061999999999998,1.0
1,0,0,2.186,1.7917999999999998,0.995,1.0137,1.8035,2.0
3,3,3,1.8364,0.9498,1.5104000000000002,2.1069,1.4953,3.0
0,1,0,2.7442,1.9924,1.7519,1.9142000000000001,1.4099,2.0
2,1,0,1.859,1.5909,2.0676,2.0909,2.1275,1.0
1,0,2,1.3512,2.1018,0.5821000000000001,0.5163,1.7421,1.0
0,0,2,2.0375,2.4149,0.6429,1.0398,1.1626,2.0
0,2,2,1.0902,2.5392,1.0643,1.8501999999999998,1.6542000000000001,2.0
2,2,3,1.0732,1.4095,1.2828,2.1311,2.3472,2.0
3,2,4,0.5702,1.3061,1.4066,2.746,1.8467000000000002,1.0
3,1,0,2.287,1.6239000000000001,2.036,2.0777,1.4538,1.0
4,2,2,0.747,2.1928,0.7646,1.3545999999999998,1.8231000000000002,2.0
0,0,3,2.9057,1.6866999999999999,0.5457000000000001,1.1440000000000001,1.1380000000000001,2.0
1,1,1,1.4924,1.3484,1.4185999999999999,1.5702,2.2405999999999997,3.0
2,1,2,1.0242,1.9009,1.6547,1.5935,2.0661,2.0
0,3,1,1.6947,1.4056,1.4639,2.5161000000000002,1.7886,1.0
0,3,0,2.2602,1.7365,1.7364000000000002,2.3366000000000002,1.5373999999999999,2.0
0,1,3,2.7776,1.5742,1.2418,1.5210000000000001,1.3239,1.0
2,2,2,0.20500000000000002,2.1376999999999997,1.3800000000000001,2.0269,2.3718,3.0
0,2,0,1.925,2.2292,1.4771999999999998,2.3476,1.7156000000000002,2.0
0,1,2,1.9094,2.3024,1.3390000000000002,1.4168,1.3485,1.0
3,4,4,0.8141,0.8187,1.5866000000000002,2.7616,1.0558999999999998,2.0
3,4,0,1.7117,1.3733,1.9413,2.5267,0.9687,1.0
1,1,2,1.2230999999999999,1.9893,1.2782,0.8933,1.928,2.0
4,2,0,1.5817999999999999,1.8828,1.1775,1.8519999999999999,1.8845,1.0
3,3,4,0.9054,0.8133999999999999,1.6658,2.7350000000000003,1.6684999999999999,2.0
3,2,0,1.4678,1.8607,1.7612999999999999,2.5111,1.7595,1.0
2,1,1,1.2934999999999999,1.26,1.7951,2.2704,2.3787000000000003,2.0
1,2,0,1.2387000000000001,1.9161000000000001,1.4163999999999999,1.8241,2.2951,1.0
0,0,0,2.8723,2.1048999999999998,1.0558,1.5372000000000001,1.2240000000000002,3.0
2,2,1,0.4743,1.4968,1.5204,2.7038,2.6844,2.0
