var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,4,0,0,0,1,2,3,4.833500000000001,6.3178,4.9174999999999995,5.6967,6.0599,4.0
3,2,3,3,0,1,2,4,4.0884,5.7357,5.5147,6.9064,5.7806999999999995,4.0
2,2,2,2,0,2,2,2,2.3895000000000004,5.7780000000000005,5.8756,6.9159,6.2792,7.0
3,1,3,3,1,3,3,3,4.3063,5.699700000000001,5.5628,4.7532,4.7905,7.0
1,1,0,3,1,2,2,3,4.0832999999999995,6.0553,6.5447,4.2046,6.034400000000001,5.0
2,2,2,2,0,4,4,4,3.0118,5.6879,4.8984,7.0698,6.260999999999999,6.0
0,1,0,2,0,1,2,3,5.1941,6.723199999999999,5.998200000000001,5.672499999999999,5.3406,5.0
0,2,0,3,0,2,2,2,3.3901000000000003,6.5709,6.047400000000001,6.4699,6.4308000000000005,6.0
0,2,0,1,0,3,1,2,3.0007,6.8529,4.349200000000001,5.952300000000001,6.058400000000001,5.0
0,2,0,4,0,2,2,3,3.8385,6.8980999999999995,6.692700000000001,6.513200000000001,5.9148000000000005,5.0
1,2,0,0,0,1,4,3,3.7531,6.2491,4.5549,6.1948,6.8281,4.0
0,2,2,4,0,1,4,4,4.0261000000000005,6.2645,4.519399999999999,7.059699999999999,5.2440999999999995,5.0
0,1,0,4,0,1,4,3,4.8632,6.8308,5.362900000000001,5.836799999999999,5.3099,5.0
0,2,0,2,0,2,2,3,3.9753999999999996,6.714099999999999,6.5911,6.514000000000001,6.0461,6.0
0,2,0,4,0,1,4,2,3.7384000000000004,6.803,4.806400000000001,6.987500000000001,5.8557,5.0
0,1,0,0,0,1,1,3,5.135,6.6417,4.9719999999999995,5.5392,5.485600000000001,6.0
2,2,0,4,0,1,2,3,3.5816999999999997,6.5161,6.5317,6.8463,6.444500000000001,4.0
0,1,0,4,0,1,1,4,4.887899999999999,6.8404,5.2342,5.808199999999999,4.9938,6.0
0,1,0,3,1,4,2,3,5.132,6.3968,6.2937,4.7171,5.4350000000000005,4.0
2,2,0,3,0,1,4,3,3.4737999999999998,6.1507000000000005,5.8222,6.8153,7.032900000000001,4.0
2,2,0,3,0,2,2,3,3.0393999999999997,6.2076,7.0358,6.4938,7.1202000000000005,6.0
3,2,0,3,0,2,2,3,3.4673999999999996,6.2406,7.0042,6.480600000000001,6.4464999999999995,6.0
0,2,0,4,0,1,2,3,4.4669,6.917599999999999,6.216000000000001,6.669600000000001,5.7269,4.0
0,1,0,3,1,1,0,3,5.409,6.320900000000001,5.7652,4.561,5.240600000000001,6.0
2,2,0,4,0,2,3,3,2.7092,6.4587,6.816,6.7658,6.487500000000001,5.0
2,2,2,2,0,2,2,3,2.9240000000000004,5.8162,6.5483,6.7631,6.251,6.0
2,2,0,2,0,2,4,3,2.8961999999999994,6.2362,6.169899999999999,6.8557999999999995,6.8643,5.0
2,4,0,3,0,4,0,3,3.6129,5.8482,5.9253,5.3027999999999995,6.9858,5.0
0,4,0,0,4,4,0,4,3.9895,6.197900000000001,3.2864,4.9689,5.9814,7.0
2,2,0,2,0,2,2,3,3.0901999999999994,6.3126,6.9068,6.6907,6.7637,6.0
3,2,0,4,0,1,2,3,4.0097,6.549099999999999,6.500100000000001,6.833100000000001,5.7708,4.0
2,2,0,3,0,3,2,2,2.6697,6.3511999999999995,5.6403,6.3155,6.9922,6.0
0,2,2,2,0,2,2,2,3.2747,6.1795,5.559900000000001,6.739199999999999,5.561599999999999,7.0
2,2,0,3,0,4,2,4,3.3212,6.1556999999999995,6.1228,6.6354,7.0296,5.0
0,2,0,4,0,1,1,4,4.2976,6.8508,5.3504000000000005,6.806100000000001,5.511399999999999,5.0
3,2,3,2,0,1,2,3,4.2198,5.921,5.986900000000001,6.9507,5.4949,5.0
0,2,0,3,0,3,2,3,4.0894,6.7909,5.997300000000001,5.986000000000001,6.2464,6.0
0,4,0,4,0,4,0,4,4.3314,6.4584,4.981,5.474799999999999,5.7097,7.0
0,2,0,3,0,2,2,3,3.9246,6.6091,6.720100000000001,6.3171,6.4026000000000005,6.0
3,2,0,4,1,1,2,3,4.2644,6.3187999999999995,6.5017000000000005,6.242,5.3407,4.0
0,2,0,0,0,2,2,2,3.4705000000000004,6.5809,5.156600000000001,6.549600000000001,6.3641,7.0
0,1,0,4,0,1,4,4,4.7825999999999995,6.7505,4.7617,5.989399999999999,5.239199999999999,6.0
2,2,0,0,0,4,4,4,3.2076000000000002,6.0893,4.4951,6.880199999999999,7.0635,6.0
2,2,0,2,0,2,2,2,2.5557,6.2744,6.2341,6.8435,6.7919,7.0
0,1,3,4,0,1,2,3,5.1304,6.4631,5.6882,5.7885,4.8021,4.0
2,2,0,0,0,1,4,3,3.5542,6.1607,4.9314,6.895,6.966200000000001,4.0
1,4,0,3,0,4,2,3,3.8007999999999997,6.0036,5.9124,4.9261,6.8741,4.0
3,2,0,4,0,4,2,3,3.7436999999999996,6.557999999999999,6.665000000000001,6.665700000000001,5.9388,5.0
0,1,0,4,0,2,2,3,4.4288,6.8877,6.5765,5.5153,5.397200000000001,4.0
0,2,1,2,0,1,2,4,4.7789,6.4899,4.927499999999999,6.654,5.2783999999999995,5.0
2,2,0,0,0,2,2,2,2.5853,6.1794,5.472300000000001,6.726299999999999,7.0817000000000005,7.0
1,2,0,3,0,2,2,3,3.2382999999999997,6.296,6.659300000000001,5.7936,6.9821,5.0
2,2,0,0,0,3,0,3,3.2956000000000003,6.332400000000001,5.0586,5.9189,6.870900000000001,6.0
2,2,0,2,0,2,0,2,2.5667,6.207400000000001,5.870499999999999,6.52,6.7655,7.0
3,2,0,3,1,4,2,3,4.084499999999999,6.0386999999999995,6.694000000000001,5.878500000000001,5.9965,4.0
0,2,0,4,1,1,1,3,4.6329,6.7008,5.953200000000001,6.0624,5.152,4.0
0,1,0,4,1,1,1,3,5.223199999999999,6.6904,5.837000000000001,5.0645,4.6344,5.0
2,2,0,3,0,2,1,3,2.9507000000000003,6.221100000000001,6.7714,6.4777000000000005,6.9754000000000005,5.0
2,2,0,4,0,1,3,4,3.257,6.3979,5.738099999999999,7.0748,6.2289,4.0
2,2,3,2,0,2,3,4,2.8387,5.7503,5.7016,7.035999999999999,6.140899999999999,5.0
3,2,0,2,0,2,3,3,3.2741,6.3077000000000005,6.6828,6.7534,5.9451,6.0
0,2,0,4,0,2,3,4,3.5138000000000003,6.7799,5.899100000000001,6.741700000000001,5.6992,5.0
2,2,0,1,0,4,0,3,2.9473000000000003,6.255700000000001,5.6494,5.9889,7.002500000000001,4.0
0,2,0,0,0,2,0,2,3.4815000000000005,6.5139000000000005,4.793,6.226100000000001,6.3377,7.0
0,2,3,4,0,1,3,3,4.296,6.4356,5.612,6.8623,5.1748,4.0
0,2,0,0,0,1,4,4,4.3588000000000005,6.4818999999999996,4.0145,6.8709,6.1779,5.0
2,2,0,2,0,1,2,3,3.7185999999999995,6.3321,6.4301,6.8471,6.5758,5.0
2,2,3,3,2,2,2,3,3.1312999999999995,5.5108999999999995,6.1987000000000005,5.9521,6.0389,7.0
2,2,0,3,0,4,2,3,3.4017999999999997,6.236,6.724,6.4828,7.100300000000001,5.0
0,2,0,4,0,4,4,4,3.9263000000000003,6.7698,5.0428,6.8199000000000005,5.924799999999999,6.0
2,2,0,0,0,2,0,2,2.5963000000000003,6.112400000000001,5.1087,6.402799999999999,7.055300000000001,7.0
3,2,0,0,0,1,4,4,3.9016,6.1133999999999995,4.2986,7.0344,6.221799999999999,4.0
2,2,0,4,0,4,2,2,2.7812,6.4868,6.0239,6.8317000000000005,6.640700000000001,6.0
0,2,0,2,0,0,2,2,3.6859,6.6297999999999995,5.0261000000000005,6.4506000000000006,5.9907,7.0
2,1,0,3,1,4,2,3,4.2467999999999995,5.995299999999999,6.609400000000001,4.8938,6.1526,4.0
0,2,0,4,0,2,2,4,3.7579000000000002,6.817799999999999,6.091500000000001,6.665800000000001,5.8441,6.0
2,1,0,3,1,2,2,3,3.8843999999999994,5.9669,6.921200000000001,4.9048,6.1725,5.0
0,2,0,4,0,2,4,2,3.1100000000000003,6.7835,5.283100000000001,6.831100000000001,6.0436000000000005,6.0
3,2,3,2,0,2,2,3,3.5914,5.9014999999999995,6.4636000000000005,6.7943,5.682799999999999,6.0
0,2,2,4,0,4,4,2,3.3062000000000005,6.315500000000001,4.6128,6.8925,5.511,6.0
2,2,3,3,0,2,2,2,2.5781,5.7253,5.951500000000001,6.7634,6.7412,6.0
3,1,0,3,1,1,2,3,4.9408,6.0194,6.4129000000000005,5.048,5.3109,5.0
2,2,0,4,1,2,2,3,3.208,6.2663,7.010000000000001,6.0988,6.2023,4.0
0,4,0,0,0,4,4,4,4.2929,6.17,3.7443,5.8469999999999995,6.2578,7.0
3,1,0,2,1,2,2,3,4.3632,6.1049,6.760600000000001,5.0885,5.1423,5.0
2,2,2,2,2,2,2,2,2.4082000000000003,5.5254,5.450100000000001,6.2574,5.6051,8.0
2,2,3,0,0,1,4,3,3.6273999999999997,5.716600000000001,4.5198,7.0118,6.559,4.0
0,1,0,4,0,3,1,3,4.5049,7.083,5.589300000000001,5.1681,5.0962000000000005,5.0
0,1,1,0,1,1,0,3,5.7451,6.1675,4.2887,4.4717,4.6648000000000005,6.0
2,2,0,0,0,0,0,2,2.8413000000000004,6.066300000000001,4.2164,6.186599999999999,6.971700000000001,7.0
0,1,1,0,0,1,4,4,5.2048,6.3081,3.3125999999999998,5.704,5.1512,6.0
0,1,1,3,1,1,2,3,5.6537,6.2245,5.5431,4.7155000000000005,4.7579,5.0
3,1,3,3,1,2,2,3,4.3856,5.5558000000000005,6.478000000000001,5.0084,5.091600000000001,6.0
0,1,1,4,0,1,0,4,5.2433,6.5965,4.5493,5.331799999999999,4.6030999999999995,6.0
2,2,0,2,0,4,4,2,2.7241,6.226400000000001,5.1854,6.9976,6.8726,6.0
1,4,0,0,0,1,4,4,3.8726000000000003,5.848,3.5185999999999997,5.4909,6.6693,6.0
0,2,0,2,2,2,2,2,3.4596,6.4233,5.492900000000001,6.0083,5.4002,7.0
0,2,0,0,0,0,2,2,3.7155000000000005,6.5348,4.2643,6.3334,6.2805,7.0
1,1,0,0,0,1,0,1,4.0148,6.161500000000001,4.2412,4.5567,6.087400000000001,7.0
2,2,3,3,3,2,2,3,3.1454999999999993,5.080299999999999,6.2488,5.9799,6.2472,7.0
1,2,0,1,0,3,0,3,2.9486,6.4975000000000005,4.8619,4.9686,6.7281,5.0
3,3,0,3,0,3,0,3,3.7093,6.1134,5.6714,5.5402000000000005,5.8045,7.0
2,2,0,0,0,0,2,2,2.8303000000000003,6.1333,4.58,6.5100999999999996,6.998100000000001,7.0
0,3,1,0,0,1,3,3,4.7111,6.1953,4.3281,6.1743,5.0346,6.0
0,1,1,2,0,1,4,4,5.175199999999999,6.4031,4.0744,5.821199999999999,4.8614,5.0
0,4,3,3,0,4,4,3,4.3663,5.7962,4.8247,5.7315,5.988,6.0
3,2,1,2,1,1,1,3,4.5683,5.9849000000000006,5.55,6.0577,4.8181,6.0
3,3,3,3,1,1,3,3,4.2457,5.3058000000000005,5.6787,5.9528,4.817,7.0
