var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,4,2,0,1,2,1,3,5.0749,6.8538,4.3738,6.396,5.8828,4.0
0,4,4,4,3,4,4,1,3.7986000000000004,7.4749,5.3705,5.6099000000000006,5.0145,5.0
0,4,2,4,2,2,1,3,4.317099999999999,7.0886,6.148700000000001,6.5484,5.167199999999999,4.0
3,4,2,4,4,0,1,1,3.4329000000000005,7.1198999999999995,6.4352,7.034400000000001,5.0488,4.0
2,1,2,4,2,0,4,1,2.2919,6.778300000000001,6.5887,6.3749,6.412700000000001,5.0
0,2,2,3,1,2,1,4,5.148700000000001,6.7513,4.8267999999999995,6.2808,5.9466,4.0
0,1,4,3,3,4,1,3,4.1497,7.3166,4.3658,5.5975,5.558,5.0
1,4,2,4,4,0,4,1,3.0406,7.0788,6.4198,5.8573,5.765499999999999,5.0
1,2,2,0,1,2,2,4,4.6129999999999995,6.3441,3.7261,5.5146999999999995,6.6129,5.0
2,1,2,3,3,1,2,1,2.8816,6.5288,5.4039,5.941800000000001,7.4571,6.0
0,4,2,2,4,3,1,1,4.3883,7.1523,5.4231,7.0298,5.3334,4.0
2,2,2,3,3,2,2,3,4.1226,6.5499,5.7218,5.7715,6.5984,7.0
3,1,2,2,1,3,1,4,4.0741000000000005,6.5314,3.9181,7.0686,6.2527,5.0
3,4,2,2,4,2,1,4,4.1135,6.7183,5.6388,7.1368,5.4975,5.0
3,4,2,3,1,2,2,1,4.289299999999999,6.3814,5.6359,6.3845,6.3247,5.0
2,2,2,2,2,2,1,1,3.6214999999999997,6.4951,6.595,6.5965,5.9414,7.0
2,1,2,1,1,2,1,1,3.1092,6.5836,4.6392999999999995,6.4702,7.1881,7.0
0,2,2,3,1,2,4,3,5.2022,6.7291,5.59,5.4698,5.878100000000001,4.0
2,1,2,0,1,2,2,4,3.8267999999999995,6.3183,3.6404,6.491899999999999,7.4181,5.0
3,2,4,2,2,2,4,3,4.140199999999999,6.4691,6.587000000000001,5.5221,4.7184,6.0
0,2,4,4,3,2,1,3,4.7871999999999995,7.392199999999999,5.4582,5.7691,4.6869,4.0
0,2,2,2,4,2,1,3,5.1583000000000006,7.142899999999999,5.7843,6.296,4.951499999999999,4.0
2,1,2,1,4,4,1,4,2.8165000000000004,6.8622,3.9644999999999997,6.4508,6.5871,6.0
