var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
3,4,0,4,2,2,1,0,4.2955,5.8804,5.564,6.2991,4.3734,4.0
0,0,0,2,2,2,0,0,5.925000000000001,6.2234,4.4631,5.5128,4.924099999999999,7.0
0,2,0,1,2,2,0,0,4.3904,6.4103,4.4223,6.600200000000001,6.082800000000001,6.0
2,2,0,1,2,2,4,3,3.1213,6.066800000000001,4.961399999999999,5.8199000000000005,6.2943999999999996,4.0
2,1,2,2,2,2,1,1,3.9528999999999996,6.3462,5.203500000000001,4.7276,5.1023,7.0
2,2,0,4,2,2,2,0,3.1813,6.1489,5.0699000000000005,6.5547,5.8416,6.0
2,3,0,0,2,2,1,3,3.5859,5.1451,6.146,5.4292,5.8843,5.0
2,3,1,4,2,2,0,0,3.4913,5.1408000000000005,5.191,7.024800000000001,6.4588,4.0
3,3,0,0,3,3,0,3,4.725099999999999,4.340199999999999,5.7871,5.0668999999999995,4.7776000000000005,7.0
0,1,0,4,1,2,1,3,5.8641000000000005,5.9772,5.7200999999999995,4.1416,4.427200000000001,4.0
1,2,2,1,1,2,1,0,3.3616,6.7672,4.0437,4.0218,5.535399999999999,6.0
3,4,0,2,2,3,0,3,5.2573,4.7543999999999995,5.9407,5.332299999999999,4.2775,5.0
0,0,3,1,2,2,0,0,5.3711,5.8678,3.4908,5.3966,5.5052,5.0
0,2,0,4,2,2,4,0,4.2771,6.9358,4.6503,6.2697,5.032,6.0
2,4,0,4,2,2,3,0,3.8125999999999998,6.1112,4.867,6.7376,4.8551,5.0
0,2,2,1,2,2,4,0,3.2258999999999998,7.2902000000000005,3.7711,5.6929,5.385200000000001,5.0
0,0,0,2,1,2,3,0,6.362400000000001,6.847200000000001,3.8295999999999997,4.3806,3.6666,5.0
3,1,0,1,2,0,0,3,5.249099999999999,4.764,5.1014,5.471100000000001,5.7543999999999995,5.0
2,2,0,1,2,2,0,0,3.5052,6.0088,4.7379999999999995,6.776900000000001,6.8004,6.0
3,1,2,2,2,2,1,3,4.3527,5.9109,5.7034,4.449199999999999,4.6748,6.0
0,1,0,2,2,2,0,0,5.796900000000001,6.1109,5.1592,5.8898,5.109999999999999,6.0
3,1,0,4,2,3,1,0,5.4178999999999995,5.9055,5.7891,5.2272,4.337,4.0
0,0,0,4,1,2,0,3,6.0902,5.7193,4.8126999999999995,4.3242,4.7892,4.0
0,3,0,0,3,3,0,0,5.2364999999999995,5.220599999999999,5.041300000000001,5.4505,4.6035,7.0
2,2,1,0,2,2,0,0,2.8374,5.4483999999999995,4.9413,6.726400000000001,6.731399999999999,6.0
