var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
17,1,0,1.9743,1.8654000000000002,1.4083,2.2534,2.7354,1.0
6,6,6,0.8039000000000001,1.4901,2.0179,2.3979,1.7639,3.0
0,17,0,2.7086,1.5991,1.943,1.9976000000000003,1.7042,2.0
10,2,10,2.2487000000000004,2.2889,1.8702,2.2724,0.8655,2.0
2,15,12,1.2121,1.7499,0.885,2.9717000000000002,1.7256,1.0
0,0,5,1.968,2.0467,2.0694,2.2641999999999998,1.413,2.0
8,11,9,1.6427,2.2569,2.6505,0.9093,2.8067,1.0
7,12,1,2.537,1.5575999999999999,2.6885000000000003,1.1571,1.8656,1.0
7,2,1,2.5321,2.1882,2.6197999999999997,0.9474,1.0911,1.0
2,1,5,1.1851,1.8747,1.9093,2.6709,2.4508,1.0
0,4,5,2.2866999999999997,2.2318,2.0599,2.5736,1.3186,1.0
2,2,2,1.3235000000000001,1.7909000000000002,2.0745999999999998,2.0617,1.5354999999999999,3.0
6,6,12,0.6431,2.0834,1.2627000000000002,2.5014000000000003,1.8731,2.0
9,2,14,2.5442,2.8446,2.1843,1.2142,1.1669,1.0
12,4,4,1.4032,2.8317,2.3101000000000003,1.3859,1.4287,2.0
9,4,1,2.1088,2.6703,2.5572,1.3503,1.278,1.0
0,10,0,2.6437,2.0177,1.2973,1.8729,1.9186,2.0
0,15,0,2.6299,1.6136,1.2632,2.6788000000000003,1.6472,2.0
8,12,9,2.0238,1.8346999999999998,2.7952000000000004,1.482,2.7455,1.0
9,4,3,2.0539,2.9341,1.8286000000000002,1.7755999999999998,1.0859999999999999,1.0
10,0,0,1.512,1.8281,2.5985,2.2744,1.8463,2.0
17,17,18,2.5313,1.5623,1.924,1.5804999999999998,1.9738000000000002,2.0
13,12,0,2.3374,0.7329,2.5992,1.9327,2.5012,1.0
10,10,10,2.1433999999999997,2.2987,1.2742,1.9586999999999999,1.4220000000000002,3.0
15,2,5,2.7474,1.9627000000000001,2.4468,1.9299,0.9382999999999999,1.0
9,14,9,1.9407,2.5198,2.6764,1.5008,1.7957999999999998,2.0
9,1,9,1.8543,2.8099,2.0768,1.6154000000000002,2.1399,2.0
9,9,12,1.4221,2.8258,1.1066,1.6360999999999999,1.3769,2.0
12,1,12,0.9839,2.844,1.3881999999999999,1.8326,1.8402999999999998,2.0
12,10,14,1.965,2.8163,1.7908,0.7864,1.9624000000000001,1.0
2,6,6,0.5637,1.2423,2.0465,2.5515,1.6857,2.0
15,12,5,2.7523,1.3321,2.5155000000000003,2.1396,1.7127999999999999,1.0
17,17,17,1.9854,1.4553,1.9828000000000001,1.4842,1.5648000000000002,3.0
10,12,10,2.2536,1.6583,1.9389,2.4821,1.6400000000000001,2.0
8,1,9,1.4316,2.5279,2.2643,1.5493000000000001,2.6380999999999997,1.0
1,1,12,0.9427999999999999,2.2952,0.6763999999999999,2.0563000000000002,1.9694999999999998,2.0
17,15,0,2.4425,1.4085,1.2404000000000002,2.4686,2.3533999999999997,1.0
17,15,14,2.409,1.9714,1.0829,2.1292999999999997,1.9468999999999999,1.0
0,1,0,2.1617,2.0705,1.4311,2.4636,2.0292,2.0
10,15,10,2.1296,1.8946,1.2401,2.7646,1.1505999999999998,2.0
0,10,3,2.4908,2.6519,0.7799999999999999,1.7386,1.1787,1.0
15,12,9,2.7076000000000002,1.592,2.5502000000000002,1.8939,1.9082,1.0
12,10,10,2.0456000000000003,2.5473,1.2336,1.1707,1.7349999999999999,2.0
0,4,4,2.0484,2.596,1.6591,2.1330999999999998,0.9784,2.0
6,15,10,2.032,1.7538,0.8356000000000001,2.7469,1.8091,1.0
0,12,0,2.7539,1.3773,1.9620000000000002,2.3963,2.1366,2.0
12,17,9,1.9273,2.3004,2.7912,1.0352999999999999,2.0539,1.0
12,0,9,1.2781,2.5423,2.7550999999999997,1.2713,2.0587,1.0
10,4,5,1.7393,2.2189,2.7515,2.6144,1.4559,1.0
0,10,10,2.6908000000000003,2.3116,0.5826,1.9179,1.2847,2.0
19,12,0,2.6506,1.1843000000000001,2.095,2.0557000000000003,2.2704,1.0
12,12,14,2.0751999999999997,2.1759,2.4555,1.3098,2.1804,2.0
0,10,14,2.6102,2.5806,1.1398,1.5336,1.5121000000000002,1.0
6,1,9,1.3806,2.3824,1.9154,2.2716000000000003,2.7244,1.0
6,0,0,1.4144,1.6873,2.194,2.2567,2.5048,2.0
15,10,10,2.7805999999999997,2.0607,0.9736,1.6305999999999998,1.1569,2.0
9,12,11,2.6805,2.0302,1.8495000000000001,1.159,1.7363000000000002,1.0
10,12,12,1.6739,1.9022000000000001,1.9597,2.5533,1.6347,2.0
