var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,18,0,15,1,2.3684,4.1686000000000005,2.5664,4.115900000000001,2.6990999999999996,2.0
15,16,3,15,17,4.5043999999999995,3.0569999999999995,3.0307000000000004,2.8021,1.2511,2.0
0,16,0,5,15,2.9779,3.4937,2.1514,4.3943,2.3312999999999997,2.0
9,2,9,7,1,1.6722000000000001,4.7233,3.5111,1.9742000000000002,3.1737,2.0
6,9,15,10,9,2.0114,3.4317,0.8844000000000001,3.9676,4.4837,2.0
17,9,15,9,8,3.0892,2.9309000000000003,1.1751,4.2026,4.3713999999999995,2.0
0,9,15,15,8,3.3582,3.4316000000000004,1.5666000000000002,4.441,3.5507,2.0
0,0,6,8,8,3.6723999999999997,3.3609,2.9157,4.271800000000001,3.3867,3.0
6,0,15,10,8,2.3306999999999998,3.6563,2.0987,4.3702000000000005,4.2879,1.0
2,1,6,0,8,1.5883,2.3754,3.4434,4.6888,4.525,1.0
9,16,3,15,2,3.8949,4.1433,2.5725000000000002,2.9732000000000003,2.09,1.0
8,17,6,0,16,1.7268999999999999,2.6761,4.3184000000000005,3.3497000000000003,4.2008,1.0
0,16,6,2,6,4.4589,2.2327000000000004,3.4175000000000004,2.8974,1.8209,2.0
15,16,3,15,5,3.7127999999999997,3.7975999999999996,3.2317,3.2287,1.8169000000000002,2.0
12,14,9,7,10,1.6435000000000002,4.442,4.6598,1.5438,3.5,1.0
0,16,3,15,8,3.8265,3.8203000000000005,2.441,3.901,2.1375,1.0
9,18,12,18,19,3.3254,4.6554,3.4454000000000002,1.6307,1.7813,2.0
0,0,0,0,16,2.2498,3.4087,2.7944,4.3752,3.0244,4.0
15,18,9,18,6,3.3388999999999998,3.3972,4.5325999999999995,1.9405000000000001,1.7150999999999998,2.0
9,10,15,8,3,3.0112,4.3149,2.3758,3.0073999999999996,3.3432,1.0
17,0,15,5,9,3.1727,3.4787,2.0810999999999997,3.4006000000000003,4.2158,1.0
0,0,5,5,0,3.8097000000000003,3.7356,2.994,3.2902000000000005,3.3784,4.0
8,18,2,2,18,3.2491,2.7024,4.4488,1.8941000000000001,1.8708000000000002,3.0
9,14,9,0,0,2.3274999999999997,3.9374000000000002,4.561100000000001,2.2069,3.5453,3.0
10,18,3,5,6,3.0734000000000004,3.3392,4.464,3.0949999999999998,2.3347,1.0
