var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,12,9,6,9,12,2,9,5.249499999999999,6.7181999999999995,5.6472,3.769,4.0962,5.0
12,19,10,4,7,10,18,16,5.0937,5.434899999999999,7.4083000000000006,2.5584000000000002,3.6752999999999996,2.0
0,2,7,4,0,11,12,3,3.6541999999999994,6.930699999999999,6.497,6.4909,4.9421,2.0
0,7,19,11,5,9,2,15,5.871099999999999,6.3214999999999995,3.9278999999999997,5.257599999999999,5.8016,1.0
13,2,13,3,0,8,16,15,5.5591,3.5165,6.9785,4.4074,4.844599999999999,2.0
3,7,3,2,5,17,2,3,5.0232,5.441199999999999,6.209200000000001,6.2459,4.7886,4.0
7,7,0,4,10,7,10,10,4.6582,7.3134,4.4228,5.150799999999999,4.9879,5.0
16,2,18,2,18,11,2,18,2.7825,6.426099999999999,4.9464,6.8946,6.0453,5.0
10,2,12,3,16,10,18,3,4.1358,5.6424,7.4289000000000005,5.6401,5.9671,3.0
9,7,10,4,13,17,16,3,6.197100000000001,5.6372,6.775600000000001,3.5526,3.5027999999999997,1.0
9,7,17,9,6,7,10,11,4.0861,7.4162,4.1991000000000005,5.4469,5.7455,3.0
8,2,10,3,14,10,18,15,5.0976,4.8012,7.1495,3.0678000000000005,5.41,2.0
17,13,13,3,16,16,16,15,6.1419,3.5426999999999995,6.0548,3.8386000000000005,4.7528,4.0
7,7,7,16,16,7,16,16,5.2377,5.403499999999999,6.0986,3.53,4.2587,7.0
0,7,13,4,8,8,16,15,6.7103,3.964,5.788,4.3818,3.0634,2.0
17,7,1,11,16,10,10,16,5.363899999999999,6.362799999999999,3.9829,4.9783,6.0597,3.0
8,1,13,3,5,12,16,15,5.911099999999999,4.729900000000001,6.911599999999999,3.2258,4.9868999999999994,1.0
17,4,17,3,16,10,3,3,4.0881,5.9098,5.799600000000001,4.9983,7.316300000000001,4.0
12,2,12,1,16,2,2,1,2.1532999999999998,6.447699999999999,6.122,5.4561,6.382999999999999,5.0
17,4,17,3,5,10,3,3,4.1744,5.9981,5.932,4.9629,7.235200000000001,4.0
7,7,13,3,16,9,3,15,5.2844,5.1047,5.5184999999999995,5.088299999999999,5.6277,3.0
10,2,9,4,19,2,4,4,2.5661000000000005,6.6245,5.872999999999999,7.2228,6.3122,4.0
12,19,6,3,5,12,2,3,4.5995,6.874,7.3038,4.0212,4.7414000000000005,3.0
12,7,6,4,0,10,12,3,4.0922,7.2836,6.8261,5.0434,4.8532,2.0
15,8,8,15,5,8,16,5,5.3283999999999985,4.347700000000001,6.0297,5.2448,3.454,5.0
9,19,13,4,0,18,2,3,5.0212,6.161099999999999,7.1647,4.5914,4.0906,1.0
17,1,19,11,10,17,16,10,6.318999999999999,5.9118,3.8073,3.0131,4.863300000000001,3.0
15,7,8,0,8,8,10,15,6.3454999999999995,4.3283000000000005,4.1873000000000005,4.828899999999999,3.5871,4.0
12,12,19,3,12,10,10,3,4.2907,7.060300000000001,4.787100000000001,4.620900000000001,6.489300000000001,5.0
10,7,9,4,10,7,19,4,3.7932000000000006,7.180199999999998,5.0569999999999995,6.3705,4.7691,4.0
17,5,11,11,13,11,5,13,5.1283,4.9928,3.8279,4.4499,5.6242,5.0
0,7,19,0,0,11,10,19,4.8583,6.7852,3.5183999999999997,6.7422,5.6339,4.0
0,7,13,3,10,13,2,3,5.831,6.3453,5.8964,5.135800000000001,4.4665,3.0
0,12,19,11,6,7,8,11,4.8115,7.496699999999999,2.4646,4.9510000000000005,5.709,2.0
9,19,6,4,10,1,2,11,5.1281,7.4883999999999995,5.6991000000000005,4.333,3.6337,1.0
6,2,0,0,18,9,2,9,3.129,6.3323,4.8984,6.5024,7.7379,4.0
0,7,13,3,5,17,18,11,5.9774,5.0026,6.047899999999999,5.1097,4.646199999999999,1.0
10,2,18,2,18,2,11,18,1.7692,6.4716000000000005,5.6835,7.1518,5.6595,5.0
3,8,2,2,8,2,3,3,3.6196,4.8818,6.126099999999999,6.215699999999999,4.0936,6.0
