var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,2,2,6,9,9,2,3,5.321899999999999,7.4138,5.8327,4.4127,4.8442,5.0
15,12,2,2,18,2,11,18,5.6013,5.1991,6.4493,5.7791,6.1021,4.0
10,4,4,4,4,17,4,10,3.5498,7.3751999999999995,7.101500000000001,5.9007,4.6801,6.0
12,1,2,3,3,10,11,16,3.0993,7.3883,6.2814000000000005,5.8764,6.957999999999999,2.0
12,12,2,2,8,2,11,9,4.7809,6.3782,7.4231,5.1626,5.9529,4.0
13,8,2,6,8,13,13,19,6.662599999999999,3.3615,6.835799999999999,2.1833,3.3570999999999995,4.0
9,4,2,18,4,2,4,16,3.7813,7.497,6.385700000000001,6.092,5.9028,4.0
6,0,6,3,9,0,6,9,1.6869999999999998,6.4796,7.1482,5.887900000000001,5.8776,5.0
10,4,2,2,4,2,1,15,4.1354999999999995,7.088699999999999,6.1861,7.0116,5.388299999999999,4.0
0,12,2,2,15,14,11,19,6.7483,4.2780000000000005,5.8902,5.0525,4.5039,2.0
15,12,2,4,5,2,11,19,5.856699999999999,5.176699999999999,7.037300000000001,5.8436,5.3797999999999995,2.0
17,12,2,11,17,11,11,11,5.1824,5.061999999999999,4.9079,5.070200000000001,6.928,5.0
8,12,2,3,2,0,6,1,3.0583,6.1487,7.3428,5.7363,7.0313,2.0
17,12,17,11,17,11,17,11,5.3654,4.6894,4.3797,3.6197999999999997,5.612699999999999,6.0
9,2,2,2,9,2,11,9,4.6159,7.1678999999999995,7.2365,5.7612,5.4659,6.0
17,12,2,19,1,2,12,19,6.2983,4.6775,4.9155,4.400399999999999,6.7487,4.0
17,10,2,19,1,17,4,19,5.5062999999999995,5.8142000000000005,4.394,3.9386999999999994,6.846800000000001,3.0
17,2,2,2,1,4,1,2,4.938600000000001,6.8561,4.110399999999999,5.8182,5.7712,5.0
15,12,2,16,5,13,19,19,7.123999999999999,3.4095999999999997,6.958999999999999,3.3379999999999996,3.6994,2.0
12,4,4,4,2,13,12,13,4.124,6.066500000000001,7.4271,3.8233,4.2776,5.0
8,8,4,4,8,12,12,19,5.874099999999999,5.0459,6.9091000000000005,2.1268,3.794599999999999,5.0
9,2,2,6,8,9,1,3,5.8857,7.3969,5.8972,4.0408,4.1642,3.0
9,10,2,11,5,17,12,13,5.2444999999999995,6.901700000000001,5.7926,3.5144,5.9355,1.0
9,12,2,4,5,2,11,13,4.6579999999999995,6.5523,7.355800000000001,5.8096,6.119,2.0
2,8,2,2,6,2,11,11,4.5742,4.837599999999999,6.426,5.762,6.2349,5.0
9,12,2,11,10,17,2,18,5.5171,6.066800000000001,5.706300000000001,4.1233,6.7265,2.0
8,12,12,11,8,9,12,9,5.5245999999999995,5.3118,5.918900000000001,3.2526,5.679,5.0
6,12,2,3,1,9,11,18,5.249599999999999,5.1775,5.8949,5.8285,7.2359,1.0
0,2,2,2,6,16,11,10,5.071500000000001,6.8582,5.323,6.897099999999999,4.95,3.0
12,12,2,12,3,2,2,12,4.071999999999999,6.512700000000001,5.4064000000000005,4.8986,6.87,6.0
