var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,0,0,2,8,4.637700000000001,3.6629999999999994,3.0469000000000004,2.0561000000000003,1.6299,2.0
10,13,18,11,5,2.1616,3.9367000000000005,4.5038,3.3979,3.1946,1.0
17,7,1,12,5,3.0144,2.3566,3.3734,3.516,4.2836,1.0
0,15,16,12,5,4.3764,3.3634000000000004,3.6291,3.5119,2.0266,1.0
7,15,14,2,5,3.8891999999999998,3.8579999999999997,4.5672999999999995,2.0454,2.1698999999999997,1.0
6,9,9,12,5,3.4496,2.6204,3.5396,4.3185,3.5526999999999997,2.0
10,4,0,4,0,2.6974,3.6707,3.5457999999999994,4.185,2.1659,3.0
2,5,7,15,5,2.0303,2.3624,3.6134,4.6621,3.1782,2.0
0,0,0,15,5,4.4139,3.5458,2.2517,3.4327000000000005,2.4584,3.0
6,8,8,8,8,3.4377,2.585,3.2565000000000004,2.2115,3.0587000000000004,4.0
2,2,1,1,0,1.3338,3.4829999999999997,2.2510999999999997,4.4054,4.2028,3.0
6,12,6,12,6,2.4779999999999998,2.2476,1.7722,3.3636,4.1955,4.0
2,5,1,1,5,1.6676,2.9081,3.3337999999999997,4.4871,4.0567,3.0
6,2,9,12,14,2.7153000000000005,2.4266,2.0341,4.157900000000001,4.4534,1.0
8,8,14,14,5,2.7118,3.9730999999999996,4.6899999999999995,2.4541,3.7199,3.0
9,0,10,10,9,3.4886,4.4992,2.215,1.0467,2.5038,3.0
10,8,18,2,5,2.9257,4.3928,4.6386,3.5614,2.5947999999999998,1.0
9,8,18,1,9,2.0688,4.8304,3.4363,2.4152,3.2358000000000002,2.0
12,3,14,12,3,2.6812,2.8066999999999998,4.3426,2.1612,3.9076999999999997,3.0
9,8,0,1,5,3.3794000000000004,4.4918,3.671,3.1502,3.4018,1.0
0,12,0,12,0,3.5778000000000003,3.3132,2.3503,3.9374,3.2664,4.0
6,5,6,12,5,3.0675,2.1669,3.5002,3.7088,4.1287,3.0
8,8,0,17,0,3.2897000000000003,3.8267999999999995,3.7373,2.6393999999999997,3.477,3.0
2,2,2,11,5,1.4895,3.7645,3.13,3.0671999999999997,4.1568000000000005,3.0
9,15,18,2,5,3.5031999999999996,4.518800000000001,4.531000000000001,2.6216,1.8744,1.0
2,2,18,1,5,1.4483,3.9758,3.419,4.2189,3.9836999999999994,2.0
10,5,18,12,5,2.4981999999999998,3.1847000000000003,4.7754,4.1187000000000005,3.2667,2.0
8,2,8,11,5,2.5731,3.4902,3.3829000000000002,2.0540000000000003,4.3234,2.0
6,8,18,12,5,2.833,3.6214000000000004,4.3028,3.7534,4.0278,1.0
2,2,13,1,13,0.8665999999999999,3.4086999999999996,1.8162,3.6599,4.4784999999999995,3.0
9,8,14,10,1,3.2901999999999996,4.5371999999999995,3.0662,1.7835,3.2411999999999996,1.0
0,0,9,12,7,4.4295,2.5408,1.3727,3.1043000000000003,3.0103,2.0
12,8,18,2,16,2.1888,4.7363,4.4408,2.3268,2.7818,1.0
9,17,10,10,0,3.3465,4.754,2.3531999999999997,2.1214,2.7099,2.0
8,8,0,8,0,3.0412000000000003,3.7274000000000003,3.7359999999999998,2.3965,3.5158,4.0
0,15,0,2,8,4.6154,3.4437999999999995,3.5368,2.9891,0.9743,2.0
2,2,1,11,3,1.4907,2.7001,3.099,3.2183,4.5016,2.0
17,8,10,1,0,3.0273000000000003,4.2885,2.5443,3.3967,3.4615,1.0
10,9,18,4,5,2.6787,3.9458,4.8112,4.2833,2.1325,1.0
0,9,0,12,5,4.2668,3.0596,3.9219,4.0815,2.5831,2.0
9,9,14,14,5,3.2584,3.7899000000000003,4.670999999999999,2.8857,2.5069,3.0
0,8,0,4,0,3.5532,4.262,3.0556999999999994,3.884,2.6779,3.0
0,0,0,15,0,4.2,3.6342,1.6186,3.454,2.3604000000000003,4.0
9,8,14,10,9,2.8844,4.5807,3.2721,1.2948,3.3550999999999997,2.0
0,8,0,12,8,4.4189,2.9738999999999995,3.47,3.4647,2.5432,3.0
8,8,8,7,7,3.0862999999999996,2.5933,2.4462000000000006,1.69,4.0600000000000005,4.0
17,0,0,12,12,4.3353,2.5509,2.2086,2.2304000000000004,3.5039,3.0
5,5,18,12,5,2.5196,2.9958,4.5585,3.7182000000000004,3.546,3.0
9,5,9,12,5,3.367,2.9356000000000004,3.6006,3.6444,3.5803999999999996,3.0
2,9,9,2,2,2.5115000000000003,2.7672000000000003,2.9804999999999997,4.1209,2.4433,4.0
6,8,0,12,5,3.4979000000000005,3.3711,4.0405,3.7391000000000005,4.0937,1.0
0,2,2,1,5,2.1635999999999997,4.437,2.4281,3.5305,3.2706,2.0
3,2,1,4,5,2.1921,3.3832000000000004,3.3189,4.4502999999999995,3.2125,1.0
5,9,11,17,5,3.3787000000000003,2.7276000000000002,4.6447,3.1986999999999997,2.295,2.0
17,0,16,15,5,4.2586,3.3400000000000003,1.9691,3.2843,2.6877,1.0
2,2,0,15,0,2.3675,3.357,2.3556999999999997,4.4411000000000005,3.5696,3.0
17,1,9,12,7,4.114,2.2232000000000003,2.046,3.2710999999999997,3.9023999999999996,1.0
6,5,14,12,5,2.7342000000000004,2.847,4.3405,3.5713,4.1551,2.0
10,9,0,4,5,3.3436000000000003,3.6955000000000005,4.5489,4.269,2.1984,1.0
6,8,2,1,0,1.857,4.4627,2.4636,3.3303,3.8268999999999997,1.0
9,15,2,2,5,3.3332999999999995,4.5785,3.8558,2.1098999999999997,1.8788999999999998,2.0
17,17,1,1,5,2.6189,3.7214,2.3986,3.4909,4.0018,3.0
2,2,0,2,5,2.7005,3.6629000000000005,3.6189,3.9276,3.3825,3.0
10,10,10,12,10,3.4732000000000003,2.9825,3.8178,2.8944,2.1984,4.0
0,2,0,2,0,3.3718,4.1528,2.6700999999999997,3.7721999999999998,2.5669000000000004,4.0
0,13,16,15,0,3.4492000000000003,3.6010999999999997,2.1029,4.2811,1.9977,2.0
0,0,0,0,0,3.6295,3.8616,2.2622999999999998,3.0088,2.4222,5.0
10,8,0,12,5,3.5955000000000004,3.5119000000000002,4.445,3.7568,3.4351999999999996,1.0
