var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,9,18,4,18,2.4005,3.7547,4.4045000000000005,3.6853,2.3602999999999996,3.0
10,9,14,2,7,3.499,3.8329000000000004,4.4521999999999995,3.4038,1.8981,1.0
8,5,17,12,2,2.2043,2.5052,4.589700000000001,3.2839,4.2097,1.0
8,9,18,14,2,2.1878,3.7335000000000003,4.8072,3.4538,2.9838,1.0
17,1,9,12,7,4.166,2.8086,2.6299,3.5374999999999996,3.8019,1.0
12,15,18,2,2,2.715,4.5094,4.651800000000001,2.612,2.322,2.0
17,1,14,11,2,3.1956999999999995,3.4962,3.6292999999999997,2.3334,4.2737,1.0
10,8,18,4,19,2.4055,4.469600000000001,4.6302,3.453,2.2428,1.0
8,8,14,14,2,2.3975,4.001799999999999,4.6083,2.5586,3.9285,3.0
12,8,14,2,1,3.4375,4.4628,4.3697,1.3503,2.8287000000000004,1.0
2,2,11,11,2,1.6932,3.1311999999999998,3.7283,3.5446999999999997,4.1545,4.0
10,15,14,14,1,3.2358,3.8259999999999996,4.6832,2.0347999999999997,2.0443000000000002,2.0
9,8,0,10,12,4.0351,4.5096,2.7653999999999996,2.0723,2.9352,1.0
15,1,16,2,7,4.6426,3.6782000000000004,3.3846000000000003,3.0986,1.5427,1.0
0,8,9,15,2,3.5324,3.5042999999999997,2.3034999999999997,4.3169,3.1909,1.0
13,10,0,12,1,4.1979,2.6695,4.2201,1.9364000000000001,3.0229,1.0
0,2,0,0,2,2.5818,3.9261999999999997,3.2350999999999996,3.9024,3.2204,4.0
8,8,18,11,18,1.8486000000000002,3.7113,4.3434,2.5343,4.156499999999999,3.0
15,15,16,2,2,4.147,3.7718,3.8697,3.1194,1.3329,3.0
15,1,12,12,1,4.2903,2.9478000000000004,3.5128,2.2237,2.5010000000000003,3.0
13,9,14,12,2,3.2047,2.4973,4.709300000000001,3.207,3.3203,1.0
9,2,2,2,2,2.2653,4.6769,3.2571,2.7249,3.0234,4.0
2,2,7,16,2,1.1220999999999999,2.4741,3.2727,4.6121,3.8345,3.0
0,0,0,15,12,4.5876,3.6163999999999996,1.4799,2.9455000000000005,2.1024000000000003,3.0
6,9,18,1,2,2.0504000000000002,3.8781,3.8587,4.2907,3.4142,1.0
12,2,2,2,2,1.7913999999999999,4.6388,3.4596,2.6108000000000002,3.2624,4.0
2,5,11,15,2,2.0702,2.4588,3.6237999999999997,4.5029,3.3598,2.0
8,8,14,1,2,2.3111,4.2919,4.0087,2.6732,4.2726,2.0
2,8,8,8,2,2.6072,2.9168,3.4868,2.7209000000000003,3.9437999999999995,4.0
7,10,10,10,1,4.263199999999999,3.9514,3.4111,0.9992999999999999,2.3800000000000003,3.0
17,8,9,10,2,3.3588,3.7033,2.3148,3.3008,4.1685,1.0
8,8,14,17,1,3.4483,3.8101,4.4044,1.2092999999999998,3.43,2.0
15,15,16,15,8,4.148899999999999,3.0074,3.3245,3.5889,0.7876,3.0
1,1,1,1,1,2.8418,3.2645,2.5845,2.3571,3.548,5.0
10,2,10,2,2,2.6019,4.2674,3.8908,3.6984999999999997,2.6736,4.0
2,2,18,2,2,1.7212999999999998,3.9418999999999995,3.7995,4.0464,3.5252,4.0
3,2,1,1,7,2.0915,3.5298,2.5281,4.3775,3.4153000000000002,2.0
8,8,10,10,1,3.5926,4.3625,3.5044999999999997,1.4022999999999999,3.1432,3.0
9,9,2,2,2,2.9415,4.3027,3.8070999999999997,2.8457999999999997,2.1670999999999996,4.0
