var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
2,1,0,1.4278,1.4738000000000002,1.8231000000000002,2.7636000000000003,2.7468,1.0
9,2,9,2.5438,2.7688,2.6637,1.4182000000000001,1.4727999999999999,2.0
8,8,8,1.6433,1.9104,2.2203,0.3509,1.4683,3.0
3,4,5,1.9478,1.6785999999999999,2.4602000000000004,2.8729,1.3624999999999998,1.0
0,7,5,2.2968,1.4342000000000001,1.6861000000000002,2.0394,1.8912,1.0
7,7,9,2.1171,1.4428999999999998,2.2446,1.1141,2.3635,2.0
6,7,0,1.7763,1.0253,1.7708,2.0319000000000003,2.983,1.0
6,1,3,1.4599,2.4352,1.1500000000000001,2.4757000000000002,2.0850999999999997,1.0
7,7,7,2.0029,0.8653,2.0868,0.7104,2.1334999999999997,3.0
0,9,9,2.092,2.4135,1.6739000000000002,2.0125,1.7042,2.0
2,2,9,1.8298,1.8768000000000002,2.5309,2.228,1.9790999999999999,2.0
3,1,3,1.6477,2.1515,1.147,2.6161,1.3332,2.0
0,8,0,2.6113999999999997,1.4334000000000002,2.018,1.7666,1.7429999999999999,2.0
6,6,5,1.2025000000000001,1.6355,2.2353,2.5232,2.2163,2.0
6,6,6,0.8208,1.3743,2.1093,2.5053,1.7639,3.0
8,1,1,1.5855,2.3636,2.4067,1.3281,2.1908,2.0
4,4,4,1.7372,2.0721,1.3771,1.7733,1.1473,3.0
7,8,0,2.4924999999999997,1.1822,2.5332,1.087,2.0199,1.0
7,2,5,2.657,1.8961000000000001,2.6871,1.6174,1.343,1.0
1,1,0,1.6267999999999998,1.5905,1.4466,2.0634,2.6087,2.0
0,0,0,2.2108,1.7747000000000002,1.9830999999999999,2.3208,1.709,3.0
6,0,0,1.5657999999999999,1.5715,2.2702,2.3439,2.5048,2.0
0,2,0,2.9004,1.9416000000000002,1.9695,2.2664,1.3620999999999999,2.0
5,2,5,2.2499000000000002,1.8807,2.6466000000000003,1.9373,1.4827,2.0
7,9,9,1.9731,2.1623,2.1891000000000003,1.3329,1.9811,2.0
9,1,3,1.9336,3.0,1.3114000000000001,1.8195000000000001,1.5006,1.0
3,1,0,1.8558999999999999,1.5173,1.7915,2.7504,2.0731,1.0
6,1,9,1.4828000000000001,2.2666,2.0402,2.3949000000000003,2.7244,1.0
0,0,9,2.0255,2.2403,2.2288,2.1057,1.6084,2.0
8,7,9,1.6419000000000001,1.6831999999999998,2.3654,1.0945,2.7961,1.0
6,7,7,1.4768,0.9133,1.8587,1.4131,2.6524,2.0
6,1,5,1.5436,2.0067,1.9969000000000001,2.6406,2.529,1.0
9,7,9,2.0647,2.0557,2.1779,1.1606,2.2979,2.0
5,0,5,1.5602999999999998,1.7138,2.6601999999999997,1.9916999999999998,1.8296,2.0
9,7,0,2.25,1.5901,1.9322,1.3757000000000001,2.3985,1.0
9,4,9,2.1729000000000003,2.787,2.6679,1.8306,1.7252999999999998,2.0
6,1,1,1.5346,2.1713,2.0578000000000003,2.0504000000000002,2.2771,2.0
9,2,3,2.5209,2.9374000000000002,1.7735,1.499,0.8335,1.0
7,2,1,2.6479999999999997,2.0606999999999998,2.748,1.0272000000000001,1.0911,1.0
9,4,3,2.1500000000000004,2.9556,1.7777,1.9114,1.0859999999999999,1.0
0,2,3,2.6921999999999997,2.5758,1.3250000000000002,2.1321,0.6222,1.0
0,2,2,2.1647,2.1260000000000003,1.8021,1.9647999999999999,0.8179,2.0
8,2,9,2.121,2.3963,2.8512,1.3521,1.9709999999999999,1.0
3,2,0,2.4432,1.4546999999999999,2.2536,2.4299,1.4060000000000001,1.0
6,4,9,1.6992,2.2222,2.5065,2.4868,2.3098,1.0
9,9,3,1.8978,2.9436999999999998,1.2322000000000002,1.4602,1.2762,2.0
8,5,9,1.7803,2.1378,2.0505,1.2555,2.338,1.0
5,5,5,1.9092000000000002,1.6221999999999999,1.8459,1.8407,1.8497000000000001,3.0
0,5,9,2.3744,2.1487,1.4144999999999999,1.9546999999999999,1.6285,1.0
9,8,9,2.2548,2.2606,2.7122,0.9184,1.8537,2.0
2,4,4,1.1952,1.9993,1.9925,2.4455999999999998,1.6959999999999997,2.0
9,6,6,1.2945,1.9391,2.2707,1.8491,1.1794,2.0
0,4,0,2.5295,1.9598,1.9737,2.6788000000000003,1.6146,2.0
8,9,9,1.4979,2.4026,2.3099000000000003,1.3133,2.4137,2.0
0,4,5,2.4050000000000002,2.1654999999999998,2.1761,2.7094,1.3186,1.0
2,2,2,1.2793999999999999,1.5956000000000001,2.1178,2.1415,1.5354999999999999,3.0
9,1,0,2.1418,2.3658,1.9559000000000002,1.9538000000000002,2.2405,1.0
3,4,3,1.8640999999999999,2.1071,1.6133000000000002,2.708,0.9186,2.0
6,4,6,1.3783,1.7011,2.3372,2.7146,1.6620000000000001,2.0
2,7,7,1.2365,0.5861000000000001,1.8873,1.5667,2.5742,2.0
0,2,9,2.7151,2.4072,2.2152000000000003,2.0513,1.2614999999999998,1.0
0,1,3,2.1048999999999998,2.6384,0.8628999999999999,2.4526,1.2893,1.0
9,9,9,1.9207,2.7751,2.1224000000000003,1.3794,1.9155,3.0
2,0,9,1.1402,1.7099,2.5445,2.2824,2.326,1.0
9,1,9,1.9565000000000001,2.8314,2.2016,1.7387000000000001,2.1399,2.0
8,0,0,1.6166999999999998,1.7637999999999998,2.6191,1.6216,2.4185,2.0
0,5,0,2.5597,1.6831,1.1688,2.1698,1.7291,2.0
1,1,1,1.4933,1.9607999999999999,1.7099,1.5038,2.0608,3.0
6,0,9,1.3805,2.0371,2.5159000000000002,2.1288,2.4042,1.0
2,1,3,1.2196,2.108,1.1786,2.6293,2.0069,1.0
8,8,5,1.8927999999999998,1.6282,2.8564,1.098,2.1565,2.0
0,1,0,2.3131,2.0042,1.5074,2.5869,2.0292,2.0
2,4,5,1.5197,1.6351,2.4918,2.8861,2.0362,1.0
9,4,1,2.2247000000000003,2.6917,2.6855,1.4861,1.278,1.0
