var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
6,8,2,1.0917999999999999,2.4352,1.7896999999999998,1.6632000000000002,2.3702,1.0
6,3,6,1.7115,0.6838,1.4641000000000002,2.0347999999999997,2.5571,2.0
8,8,8,1.9350999999999998,1.923,2.0684,0.7901,2.4802,3.0
2,4,1,0.8124,0.6756,1.763,2.8274999999999997,1.9939999999999998,1.0
9,0,6,2.7973,1.7302000000000002,0.9449,0.5562,1.6592,1.0
8,2,1,0.8597,1.8321999999999998,1.9033,1.9356,2.7767,1.0
7,1,7,2.0486,1.1888,2.5225999999999997,1.4653,1.4806,2.0
7,7,7,1.4061,0.7908,2.5446999999999997,1.4853,1.6731,3.0
0,9,9,2.5233,1.402,1.4043999999999999,2.7969,1.1239999999999999,2.0
2,2,9,0.9618,1.3607,1.1701,2.8491999999999997,2.6978999999999997,2.0
0,2,4,1.1217,1.6070999999999998,1.1818,2.6957,1.8829000000000002,1.0
2,9,2,0.9754,1.5,1.9868999999999999,2.1928,1.5772,2.0
6,0,6,2.3236,1.1654,0.7835,1.2124000000000001,2.2437,2.0
8,8,2,1.1426999999999998,2.6275,2.1386,0.9409,2.2839,2.0
0,0,8,2.9242,1.6526,0.6295999999999999,0.9073000000000001,1.4206,2.0
9,8,0,2.4003,2.6729000000000003,2.3806,1.5531000000000001,1.8546999999999998,1.0
8,8,9,1.8053,1.9990999999999999,1.8718,1.7217,2.5483,2.0
8,5,1,0.9795,1.1963,2.3529,2.0416,2.5326,1.0
0,8,0,2.5716,2.3113,1.9321000000000002,2.1862,1.6433999999999997,2.0
8,7,0,1.6019,1.474,2.4835,1.3129,2.3811999999999998,1.0
6,6,6,2.0869999999999997,1.084,0.8132,1.5161,2.0167,3.0
7,7,8,2.0347,0.8563,1.863,0.6356,2.0759,2.0
3,3,9,1.7250999999999999,0.7602,1.3977,2.8247999999999998,1.846,2.0
7,5,0,2.0202,1.3053,2.5155,1.8641999999999999,1.8176999999999999,1.0
6,2,2,0.5395,2.3163,1.4082999999999999,1.9148,2.5117000000000003,2.0
9,9,8,2.4818,1.6875,2.0495,1.2322,1.2671999999999999,2.0
6,9,1,1.4849999999999999,1.1507999999999998,2.1044,2.7823,2.0067,1.0
0,0,0,2.9666,2.0300000000000002,1.1293,1.6042,1.2933,3.0
0,2,0,2.0193,2.1924,1.5507,2.4378,1.7849,2.0
6,2,7,0.7032999999999999,1.5463,2.0198,2.6137,2.3052,1.0
0,0,9,2.7944,1.7287,0.433,1.8389000000000002,1.4887000000000001,2.0
6,9,9,1.8782999999999999,1.1987999999999999,1.6915,2.8200000000000003,1.9198,2.0
6,5,1,0.9286,1.004,2.004,2.7639,2.6189,1.0
3,3,6,1.8993,0.4001,1.4611,2.1752,1.8052000000000001,2.0
3,3,3,1.9306999999999999,0.6201,1.5633,2.1584,1.554,3.0
0,9,0,2.6955,1.7033,2.1007,2.5622000000000003,0.9285999999999999,2.0
3,3,1,1.3317999999999999,0.7121999999999999,1.8106,2.7870999999999997,1.9329,2.0
8,1,9,2.0722,1.5707,1.7651,1.5276,2.3840999999999997,1.0
8,5,7,0.874,1.1027,2.8183,1.9974000000000003,1.9747999999999999,1.0
7,5,7,1.3491999999999997,0.8623999999999999,2.6975,2.017,1.5422,2.0
6,1,1,1.6280000000000001,1.3304,1.8291,2.2122,2.5572999999999997,2.0
3,9,9,2.0661,0.9151,1.6885,2.9604,1.1679,2.0
0,8,9,2.3994,2.01,1.2358,2.4209,1.8388,1.0
0,2,2,1.1844999999999999,2.5195,1.1212,1.8917000000000002,1.7159,2.0
2,8,6,1.6883,1.1195000000000002,1.6149,1.9480000000000002,2.5156,1.0
0,8,7,1.9005999999999998,1.8683999999999998,2.1141,2.339,1.3679,1.0
7,9,7,1.9055999999999997,1.0092,2.7979,2.0354,0.93,2.0
6,5,7,0.8230999999999999,0.9104,2.4694,2.7197,2.0610999999999997,1.0
5,5,5,1.3727999999999998,0.7991,1.8488,1.776,1.7721,3.0
9,8,2,1.5655,3.0,1.9510999999999998,1.0070000000000001,1.7856999999999998,1.0
6,2,6,1.3763,1.3278,1.2048999999999999,2.046,2.7353,2.0
8,8,0,1.9775,2.3004,2.5681,1.487,2.3529,2.0
7,1,6,2.7216,0.9702999999999999,1.7077,0.8976,1.9106999999999998,1.0
9,9,0,2.5242,2.0648999999999997,2.5492,1.9291,1.1399,2.0
8,2,2,0.5904,2.5086,1.7571999999999999,1.1925000000000001,2.4254000000000002,2.0
8,2,7,0.7542,1.7386,2.3687,1.8914,2.2189,1.0
2,2,7,0.46299999999999997,1.2191,2.0484,2.7673,2.227,2.0
8,9,0,2.1014,1.6924,2.7367,1.863,1.6381000000000001,1.0
9,0,0,2.7953,2.3916000000000004,1.5777999999999999,0.9711000000000001,1.5046,2.0
8,1,0,2.2444,1.872,2.4614,1.2929,2.1887,1.0
2,9,0,1.8102,1.1729,2.4164,2.7389,1.6461999999999999,1.0
8,8,1,1.412,1.9510999999999998,2.2847,1.684,2.6351999999999998,2.0
2,2,2,0.2992,1.9891,1.4368999999999998,2.0684,2.4335,3.0
6,8,9,1.7544,1.8068,1.5229,2.444,2.6346,1.0
4,1,9,2.323,1.1239999999999999,0.8294,1.7312,1.8434999999999997,1.0
0,2,9,1.8471,1.8910999999999998,0.8544,2.6725000000000003,1.9803000000000002,1.0
2,9,7,1.1392,0.73,2.5984,2.8917,1.3707,1.0
8,8,6,1.9794999999999998,1.639,1.9352,1.0721,2.5075,2.0
9,9,9,2.352,1.7635999999999998,1.8529,2.1638,1.3353,3.0
6,8,6,1.9285999999999999,1.4467,1.5863,1.7944000000000002,2.5938,2.0
0,8,2,1.7368,2.6384,1.5026,1.6401000000000001,1.5743999999999998,1.0
0,5,0,2.1391,1.5565,2.0002999999999997,2.5438,1.5408,2.0
1,1,1,1.5867,1.1199,1.4812,1.6656,2.3409999999999997,3.0
7,9,0,2.5766,1.4521000000000002,2.6159,1.8826,1.2055,1.0
9,1,8,2.6248,1.8671000000000002,1.7742,0.6621,1.8178,1.0
6,2,9,1.2021,1.6879,1.1415,2.6955999999999998,2.7761,1.0
0,8,3,2.605,1.8699,1.4014,1.7545,1.5468,1.0
7,1,9,2.5474,1.3304,1.6442999999999999,1.5472000000000001,1.9514999999999998,1.0
0,1,0,2.8385000000000002,1.8829,1.8254000000000001,1.9921000000000002,1.4792,2.0
8,7,7,0.9309,1.0311,2.6654999999999998,1.4657,2.1056999999999997,2.0
2,2,1,0.5685,1.3127,1.583,2.8114999999999997,2.7847999999999997,2.0
9,8,8,2.3579,2.2955,1.8809,0.8562000000000001,1.982,2.0
6,3,9,1.5373,1.0439,1.4007,2.6844,2.5979,1.0
