var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
8,6,6,4,0,3.5263,2.4694000000000003,3.3683000000000005,2.3551,4.395,2.0
6,9,6,9,9,2.8503000000000003,2.4966999999999997,1.6177000000000001,3.9321,4.584899999999999,4.0
8,7,2,5,0,2.8948,2.4036,4.6364,3.0911999999999997,3.102,1.0
6,0,5,9,3,2.8643,3.3240000000000003,1.9609,3.3686000000000003,4.3248999999999995,1.0
6,6,6,7,6,3.1872999999999996,1.8561,3.3095,2.8176,4.2328,4.0
9,0,6,5,6,4.2162,2.9536000000000002,4.2311000000000005,2.8872999999999998,3.3137,2.0
7,0,2,6,6,4.5724,1.4569999999999999,4.372,1.6964000000000001,1.7389,2.0
8,7,6,3,5,1.8157999999999999,3.339,4.6009,2.9912,3.6034,1.0
8,0,9,3,5,2.0161,4.2655,4.6337,2.2866,3.4764000000000004,1.0
9,1,0,3,5,1.6343,4.067,3.2595,3.2428,3.2924,1.0
6,6,6,6,6,3.9959999999999996,1.2221,3.3459,2.2411,3.3286,5.0
0,9,0,0,0,2.6034,2.8952,2.3686000000000003,4.3715,3.4737,4.0
0,0,2,8,6,4.4511,2.2599,3.5569,3.3023,2.0814,2.0
0,7,0,5,5,2.2886,3.2642,3.2793,4.229,2.7273,3.0
7,7,2,5,0,3.37,2.1633,4.5156,3.1108000000000002,2.6694,2.0
7,8,6,4,6,4.237,1.8692,3.5100000000000002,1.7186,3.4533000000000005,2.0
6,6,6,7,7,2.3002999999999996,2.4791000000000003,2.7401,3.418,4.5601,4.0
6,1,6,8,8,2.6738,2.7108999999999996,2.9894000000000003,4.5788,4.5409999999999995,3.0
0,0,6,6,0,4.359100000000001,2.7306,3.5624000000000002,3.0069999999999997,2.86,4.0
9,0,6,5,3,3.4878,3.7759000000000005,3.5042,3.2598,3.8659999999999997,1.0
9,0,5,8,3,3.4076000000000004,4.2119,2.5231999999999997,2.7803,3.6317999999999997,1.0
3,9,6,9,8,3.1853,2.1521,2.1726,4.689,3.8107999999999995,2.0
3,0,0,3,0,2.3521,3.3585000000000003,3.246,3.8019999999999996,3.0535,4.0
0,6,6,8,0,4.120900000000001,2.6209,2.6296000000000004,3.5184000000000006,3.634,3.0
9,0,9,2,5,3.2785,3.6465,4.4282,2.1375,2.4503,2.0
9,9,9,9,9,2.8533,3.5451,1.9939,2.7241,3.5979,5.0
6,0,6,8,6,3.7538,2.4352,3.6789,3.5823,3.7934,3.0
5,6,6,5,6,3.8635,1.664,3.6244,2.7458,3.6735999999999995,4.0
7,7,9,6,6,3.3783999999999996,1.8761999999999999,4.6037,1.5543,1.9771000000000003,3.0
9,0,9,0,0,2.8434,3.7798,4.4167,2.8106,3.4577,4.0
0,9,0,8,8,3.0023,3.2239999999999998,1.6009,4.7347,3.2877,3.0
9,9,5,8,8,3.4493,3.7133,2.1477,3.442,3.7401999999999997,3.0
0,0,7,8,2,4.264600000000001,3.4326,2.0206999999999997,3.6658,2.2591,2.0
9,0,3,5,6,4.3329,3.3533,4.0392,2.4928,2.5473,1.0
7,7,6,7,6,3.0403999999999995,2.0265999999999997,4.3525,2.6826,3.2838000000000003,4.0
0,0,0,0,0,2.7756,3.1965000000000003,3.0649,4.1368,3.2782999999999998,5.0
6,2,5,8,3,2.0991,3.9742,1.9323,2.8904,4.1472999999999995,1.0
0,0,0,0,1,2.5588,3.4127000000000005,2.8798,4.2888,3.0147,4.0
8,1,5,7,5,1.8611,3.6033,3.4209,2.6033999999999997,4.4158,2.0
0,9,9,9,0,3.4063999999999997,3.1414999999999997,2.3801,3.5483000000000002,3.3809,4.0
8,0,6,5,0,3.5135000000000005,3.2249999999999996,4.2893,3.1953000000000005,4.293699999999999,2.0
9,0,9,5,1,3.2488,4.2973,4.1315,2.8615999999999997,3.1294,2.0
9,0,5,4,6,4.1355,3.2489999999999997,3.3528,1.9437000000000002,3.1310000000000002,1.0
8,8,0,0,0,2.1391,2.8082000000000003,3.2012000000000005,2.7407000000000004,4.1151,4.0
9,9,5,5,9,3.2908,3.7278000000000002,1.9806,2.7867,3.8672,4.0
3,9,6,5,8,3.2436,2.4288,2.9643,4.7181,3.8069999999999995,1.0
8,1,6,0,5,1.8876,2.7837,4.2385,3.5337000000000005,4.4299,1.0
6,0,0,8,8,2.5295,3.3221,2.5843,4.5231,3.8880999999999997,3.0
8,9,6,5,0,3.3413000000000004,2.9237,3.5930000000000004,3.4300000000000006,4.4891,1.0
0,0,8,8,0,4.0863000000000005,2.9720000000000004,2.6499,3.2784000000000004,2.5671,4.0
0,3,6,8,2,4.1573,2.8712,2.1304,3.6323,3.1055,1.0
0,7,0,0,0,2.1046,2.7536,3.2469,4.2896,3.0027999999999997,4.0
8,0,6,6,0,3.7650000000000006,2.7197,4.1984,2.3078000000000003,3.5695,3.0
6,9,6,9,0,3.2321,2.4547,2.4524000000000004,4.1232,4.5792,3.0
9,0,9,0,9,2.4616000000000002,3.8218,3.582,2.6195,3.4634,4.0
0,0,3,5,5,3.7861000000000002,3.8449000000000004,3.5939,3.5404,2.607,3.0
2,1,6,0,8,1.8000000000000003,2.036,3.5089,4.7946,4.6323,1.0
9,0,3,3,0,3.4645,4.3448,3.9070000000000005,2.4696,2.8251,3.0
8,9,9,9,9,2.4305,3.1726,2.1814,2.6580000000000004,4.0961,4.0
8,0,0,8,8,2.5804,3.5143999999999997,2.9332,3.8007999999999997,3.8018,4.0
0,0,0,8,0,3.4091000000000005,3.5442,2.5740000000000003,4.0746,3.1088,4.0
0,0,3,3,0,3.6358000000000006,3.9832,3.4585000000000004,3.1027000000000005,2.6138,4.0
8,1,6,7,3,1.9423,3.1828000000000003,3.2809999999999997,3.0797,4.826499999999999,1.0
