var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,2,2,4,3,0,1,1,5.196899999999999,7.692500000000001,6.4006,6.0061,5.444400000000001,3.0
9,2,2,2,9,2,6,9,5.4622,6.121700000000001,7.2943999999999996,6.052099999999999,5.5649999999999995,6.0
7,2,2,3,7,2,2,3,6.6485,5.4933,5.9844,5.1888000000000005,5.7810999999999995,6.0
0,4,2,0,6,3,1,4,6.025500000000001,5.3271999999999995,3.8710000000000004,7.5106,6.0233,3.0
2,4,2,4,3,3,1,1,4.4733,6.666600000000001,5.637199999999999,7.3864,6.4027,5.0
9,2,2,3,4,2,4,1,5.7456000000000005,6.463899999999999,7.091399999999999,5.5047,5.9339,4.0
9,1,2,8,3,2,1,1,4.6758,7.1182,5.1125,6.2452000000000005,6.8689,4.0
8,0,2,4,2,2,1,1,4.3544,6.660299999999999,7.193299999999999,6.0809,6.2011,4.0
6,4,2,3,1,2,1,9,5.3567,6.1136,6.1773,6.83,6.7821,3.0
2,2,2,2,1,2,1,2,5.6842,5.712000000000001,5.265899999999999,6.7415,6.1305,7.0
9,2,2,6,2,2,1,1,5.8881,7.2600999999999996,6.669499999999999,5.479100000000001,4.946300000000001,5.0
9,4,2,4,4,2,4,9,5.3046999999999995,6.9474,7.2928,6.014099999999999,5.4867,6.0
2,1,2,2,4,2,1,1,4.6608,6.3685,6.0337,7.3269,6.563700000000001,6.0
9,2,2,6,8,9,1,9,6.9217,7.1989,6.5081,4.4754000000000005,4.1648000000000005,4.0
2,4,2,2,8,2,4,9,5.248499999999999,5.3176000000000005,7.205699999999999,6.074399999999999,5.7458,5.0
8,8,2,2,8,2,1,9,5.7848,5.851699999999999,7.2406999999999995,4.7813,5.681900000000001,5.0
6,1,2,0,6,9,1,4,5.3928,5.2551000000000005,4.0226,7.033900000000001,7.186599999999999,3.0
9,4,2,4,9,0,1,9,4.8713999999999995,7.3809000000000005,7.2236,6.4453,5.2205,4.0
0,2,2,2,8,2,2,4,6.819,4.976800000000001,5.5116,5.868399999999999,5.0274,5.0
9,2,2,6,1,9,1,1,6.659000000000001,7.3858,5.4792,5.185599999999999,5.1557,5.0
0,1,2,2,6,3,1,1,5.6763,6.422700000000001,4.8614,7.4214,6.074000000000001,4.0
0,4,2,4,4,3,1,3,5.8558,7.068499999999999,5.4432,7.114599999999999,5.0725,4.0
0,4,2,3,6,2,1,3,6.2385,6.0988999999999995,5.8341,6.8889,5.8899,3.0
9,1,2,7,3,7,1,1,4.6331,7.8063,4.4664,5.7928999999999995,6.0064,4.0
0,1,2,3,1,9,2,3,6.3008,5.806,4.534199999999999,5.954000000000001,6.491199999999999,4.0
2,1,2,3,3,2,6,1,4.062200000000001,5.4291,6.0139,6.9587,7.5742,5.0
0,2,2,6,1,2,1,2,6.8468,6.6412,4.7324,5.9505,4.870900000000001,5.0
8,1,2,3,3,0,1,1,4.2775,6.8512,6.1543,6.064400000000001,7.101400000000001,4.0
9,1,2,6,1,9,1,1,6.0717,7.4484,5.017099999999999,5.5061,5.8228,5.0
0,2,2,0,1,9,1,3,6.9024,6.345400000000001,4.2255,6.0387,5.6007,4.0
2,4,2,2,4,2,4,4,4.8156,4.9066,6.1594999999999995,7.0383,6.4051,7.0
