var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
7,1,6,8,1,4.385,2.3152,3.4974,0.9874999999999999,2.9318999999999997,2.0
0,9,9,1,7,3.7203,3.402,2.5568999999999997,4.6071,2.5286,2.0
0,9,1,4,7,3.5434,3.3096,3.4360999999999997,4.6613,2.2009,1.0
0,4,0,4,8,3.3525,3.0654,3.6772,4.4311,1.5741,3.0
2,2,1,1,2,1.3144,3.2389,2.9784,4.7196,4.6098,4.0
9,9,0,2,1,4.4765999999999995,3.918,4.2904,2.5188,1.7801999999999998,2.0
8,8,0,0,8,2.7481,3.6254,4.524,3.1063,3.0273,4.0
0,9,0,2,2,4.0287,3.5669,3.9582,4.149800000000001,2.0865,3.0
0,2,2,2,2,2.5176999999999996,4.3831,2.9787000000000003,3.4793000000000003,2.8738,4.0
7,0,6,7,7,4.1549,2.3417000000000003,2.1404,1.7418,3.2874000000000003,3.0
7,1,1,7,1,3.6274,2.4223999999999997,3.3125999999999998,1.8416000000000001,3.5038,4.0
6,9,9,1,5,2.8377,2.4204999999999997,2.3552999999999997,4.354800000000001,3.4473999999999996,2.0
9,2,0,4,2,2.8103,4.4358,3.8609000000000004,3.8047,3.4066,2.0
9,2,9,9,2,2.3859000000000004,4.122599999999999,2.6191,3.5882,3.7922,4.0
6,2,1,4,2,1.7711,3.5217,3.4161,4.6579,4.2734000000000005,2.0
9,8,0,1,1,3.7654,4.5886000000000005,3.6596999999999995,2.4633000000000003,3.1620999999999997,2.0
0,9,0,2,1,4.6479,3.5564,3.8419,3.1519000000000004,1.5688999999999997,2.0
8,2,2,2,2,1.9236000000000002,4.372199999999999,3.6147,2.7801,3.5833000000000004,4.0
2,2,0,4,2,2.0963000000000003,3.5438,3.7281,4.6145,3.9129,3.0
2,5,4,4,7,1.7696,2.3964,3.5659,4.8805000000000005,3.3464,2.0
8,8,0,8,8,3.1487000000000003,3.2840999999999996,4.5588999999999995,2.5521000000000003,3.0613,4.0
8,8,8,8,8,3.1062999999999996,2.9067,4.0592,1.8552,3.1886,5.0
