var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
0,7,5,2,2,3.9147000000000003,3.1105,4.1963,3.6181,2.8494,2.0
2,7,7,2,2,3.0932,2.0934,3.5586,3.5114,3.4418999999999995,4.0
9,7,5,5,9,3.7474,4.3079,3.6106999999999996,2.4661,3.7515,3.0
5,3,5,5,2,3.4846,3.6502999999999997,3.6736,2.7103,3.7051999999999996,3.0
5,1,5,5,1,3.1024,3.0714,3.2377,2.4413,3.5119,4.0
9,5,5,9,5,2.2148,3.9977,4.5507,2.2911,2.7808,4.0
2,9,5,0,0,1.9777,2.8466,2.997,4.8187,3.4501,2.0
2,2,5,0,0,1.5178,3.6538999999999997,3.3112,4.5834,4.0555,3.0
0,0,5,6,2,4.1059,3.1744000000000003,3.3174,3.93,3.7535999999999996,2.0
6,9,5,6,3,3.2891,2.7598000000000003,3.0221,4.6819,4.0984,2.0
9,3,3,9,9,3.3398000000000003,4.0137,3.9937000000000005,1.5724,3.1670000000000003,4.0
2,7,5,6,2,2.9771,2.9585999999999997,4.3469,4.051699999999999,4.4832,2.0
8,2,5,9,2,2.4903,4.2620000000000005,4.5096,3.0221000000000005,4.2639,2.0
0,0,0,2,2,3.9443,2.8849,2.8181000000000003,3.6963,2.7272999999999996,4.0
2,9,0,0,2,2.206,2.8025,2.3074,4.8496,3.5884,3.0
2,7,5,2,2,3.0294,2.5801,4.512,3.7948,3.567,3.0
9,3,9,3,9,3.5496,4.4453,3.2452000000000005,1.4859,2.6544000000000003,4.0
6,2,2,6,2,2.2171000000000003,3.3484,3.4011000000000005,4.1419,4.4642,4.0
9,2,5,9,5,2.5009,4.694599999999999,4.4401,2.7024000000000004,3.3341000000000003,3.0
9,2,5,3,2,3.5005,4.5506,3.9154000000000004,3.2455000000000003,3.4017999999999997,2.0
8,7,5,5,2,3.1768,3.8677,4.077,2.6575,4.3457,2.0
8,2,5,5,2,2.8695,4.168,3.7046,3.0556,4.537,3.0
6,2,6,6,2,2.2394000000000003,3.3879,3.0120000000000005,4.0805,4.6378,4.0
5,9,5,6,9,3.6368,2.7831,3.5404999999999998,3.8912,3.6721,3.0
2,2,0,6,2,2.4558999999999997,3.3479,3.3101000000000003,4.473,4.5644,3.0
9,3,5,3,9,4.1953,4.356300000000001,3.7669000000000006,2.3032,2.7669,3.0
6,2,3,6,2,2.642,3.1596,3.7660000000000005,3.7227,4.7889,3.0
6,7,5,2,2,3.2697,2.9073,4.4834,3.6412,3.6452,2.0
9,2,5,5,3,3.2114,4.5215,2.9074999999999998,3.2721,3.9899,2.0
6,3,3,6,2,3.189,2.8975999999999997,3.8963,3.0379,4.25,3.0
0,8,0,0,0,2.2594999999999996,3.8663000000000003,2.431,4.5342,2.7468,4.0
9,2,5,5,9,3.4401,4.6082,3.2382999999999997,2.8642,3.9428,3.0
6,7,5,6,5,2.8052,3.3459,4.4363,3.5122999999999998,4.1298,3.0
9,6,5,3,5,3.3239,4.645200000000001,3.8986,2.3787,2.1627,2.0
9,8,0,6,2,3.2401999999999997,3.8329000000000004,3.5428,3.7674999999999996,3.5770999999999997,1.0
6,2,0,0,2,1.9864000000000002,3.9369999999999994,2.593,4.4607,4.272,3.0
6,6,5,6,0,2.7035,3.7537,3.8363,3.8075,3.6968,3.0
0,0,0,3,3,3.9278,3.6441,1.8515,3.7091,2.8282,4.0
9,3,5,9,5,3.0479,4.432600000000001,4.5704,2.0176,2.7952000000000004,3.0
9,3,8,7,9,4.4953,3.5217,3.0209,2.0254,1.7419000000000002,2.0
3,9,0,3,3,3.3796999999999997,2.9648,2.1628,4.4510000000000005,2.47,3.0
8,7,5,6,2,3.2683,3.4781000000000004,4.6672,3.1758,4.475099999999999,1.0
0,0,0,0,0,2.7399999999999998,3.6584,1.9897,4.0868,3.0244999999999997,5.0
2,2,2,9,2,1.5061,3.5047999999999995,3.6445000000000003,3.7437000000000005,3.9835000000000003,4.0
0,2,0,6,3,3.2603,3.8593,2.3848000000000003,4.4467,3.7979,2.0
