var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
8,8,0,8,2,8,0,0,4.9993,5.5169,6.1912,5.299300000000001,6.0672999999999995,6.0
0,8,0,2,7,8,9,5,6.3621,6.486400000000001,6.173900000000001,6.1621,4.566,3.0
7,9,0,0,7,9,0,5,6.2524,4.5944,6.211499999999999,6.259,4.4512,5.0
7,0,0,7,0,7,0,7,6.049600000000001,3.8645000000000005,4.499099999999999,3.5434,5.2133,7.0
0,3,9,1,2,9,0,5,5.5093000000000005,4.5451,4.4764,7.4017,5.788399999999999,3.0
6,8,0,4,7,3,9,5,5.8229,6.4464000000000015,6.4956000000000005,5.8085,5.5564,1.0
0,0,0,2,7,9,0,7,7.3958,4.852500000000001,3.7579000000000002,5.642799999999999,4.067,5.0
8,2,2,4,2,8,5,5,3.6197,6.3682,6.2028,5.9243999999999994,5.8255,5.0
7,9,9,7,7,9,0,7,6.354500000000001,3.2601999999999998,4.0624,5.898300000000001,4.999700000000001,6.0
8,8,8,1,1,2,0,0,5.2075,6.1068,4.964700000000001,4.3205,6.4441999999999995,5.0
8,2,0,1,2,2,0,5,4.2923,6.2867999999999995,5.8637,6.2437000000000005,7.0861,4.0
8,8,9,1,2,2,0,0,4.458499999999999,6.1934,4.8844,6.25,7.029899999999999,4.0
9,8,2,1,7,7,9,5,5.0057,7.3444,6.0033,4.801,5.665099999999999,3.0
8,9,0,8,1,7,0,5,6.193300000000001,4.9161,7.1804,4.151800000000001,5.2347,3.0
8,2,8,7,2,7,5,5,4.540900000000001,5.0391,5.9151,4.6012,6.884099999999999,5.0
8,8,0,1,2,7,9,5,4.9666,6.571,6.8632,5.3789,6.652699999999999,2.0
0,2,1,1,2,2,0,0,4.106999999999999,6.0374,4.2799000000000005,7.163100000000001,6.548799999999999,6.0
0,1,6,4,7,0,0,5,6.9259,4.741300000000001,4.7515,5.7332,5.1872,3.0
5,5,7,2,2,2,9,5,4.2112,5.355300000000001,7.0418,6.3064,5.5059,5.0
0,1,0,8,1,7,0,8,7.2064,4.5517,5.9716,4.0068,4.227399999999999,5.0
3,9,0,4,7,9,0,5,6.232800000000001,4.5438,5.970999999999999,7.460100000000001,4.1238,3.0
8,8,2,1,2,2,9,5,3.8244999999999996,7.1984,6.0613,5.2309,6.775,4.0
9,2,0,1,2,8,5,5,4.6609,6.458,5.9784999999999995,6.4447,5.810899999999999,3.0
0,8,2,2,2,2,3,0,4.7691,7.404299999999999,4.332800000000001,5.7136,4.648999999999999,5.0
6,8,9,1,2,2,5,0,4.2831,6.2068,4.737900000000001,7.0029,6.8202,2.0
9,8,8,8,7,7,9,5,6.0964,6.069100000000001,6.443700000000001,3.8299,5.5752,5.0
7,9,0,2,1,7,0,5,6.9575,5.184,7.0111,4.671200000000001,4.4212,3.0
8,8,2,2,2,2,9,5,4.4118,7.1358,6.5234,4.9104,6.1079,5.0
