var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,1,9,0,9,9,0,3,6.3417,6.1136,4.5773,4.1135,5.5252,5.0
6,7,9,4,5,1,3,3,4.9477,6.5002,6.2943,7.2402999999999995,6.1395,2.0
3,8,3,3,5,8,6,3,5.958,3.4634000000000005,6.8657,5.922,4.0503,5.0
7,1,0,2,5,8,6,3,6.7629,4.6974,7.1742,4.1838,4.6599,1.0
8,3,8,3,8,8,8,8,5.4491000000000005,4.5375000000000005,4.8557999999999995,4.4778,5.0399,7.0
8,1,0,3,5,8,6,3,6.2344,4.7447,7.4282,3.9673000000000003,5.451899999999998,3.0
0,7,9,4,5,1,2,3,5.864600000000001,6.747299999999999,6.1997,7.1371,5.4886,1.0
0,7,0,0,0,1,8,8,5.8024000000000004,6.413200000000001,3.5963,6.604500000000001,5.8329,5.0
2,2,0,0,0,2,2,2,3.5785,5.3068,5.4375,7.1119,7.1624,7.0
7,8,7,3,7,8,2,3,5.724100000000001,4.5716,7.72,4.7005,4.315300000000001,5.0
2,8,8,2,5,2,3,5,3.6619,4.803,6.2989,7.455500000000001,5.5712,5.0
9,1,6,0,5,8,2,3,6.746700000000001,6.0372,6.2118,4.1447,4.6144,1.0
0,7,6,6,5,1,8,3,6.7858,7.1296,4.914199999999999,5.6343,4.0877,2.0
0,7,1,6,1,1,1,7,6.3420000000000005,6.3099,4.6415,5.511699999999999,3.8347,5.0
7,7,7,3,7,2,2,3,5.1412,5.6757,7.427,5.0848,5.4056,6.0
0,7,3,4,5,1,2,3,6.042000000000001,6.436599999999999,5.8267999999999995,7.1193,5.1167,2.0
0,2,5,0,5,5,2,2,4.2743,5.9543,3.4906000000000006,7.1183,5.9423,6.0
0,7,7,7,0,7,8,3,5.3029,7.2865,4.839700000000001,5.6982,4.748200000000001,5.0
9,1,0,3,5,8,2,3,6.3293,5.948499999999999,7.2839,4.6521,5.654,2.0
